"English","Tamazight_Sentence","Dialect","Tamazight","Tamazight_Latin","Tamazight_Arabic"
"It's time for bed.","ⵜⵉⵣⵉ ⵏ ⵓⴷⵔⴰⵔ.","Other","ⵜⵉⵣⵉ ⵏ ⵓⴷⵔⴰⵔ.","tizi n udrar.","تيزي ن ودرار."
"That is an old castle.","ⴰⵢⴰ ⵉⴳⴰ ⵢⴰⵏ ⵜⵖⵔⵎⵜ ⵜⴰⵎⵇⵔⴰⵏⵜ.","Other","ⴰⵢⴰ ⵉⴳⴰ ⵢⴰⵏ ⵜⵖⵔⵎⵜ ⵜⴰⵎⵇⵔⴰⵏⵜ.","aya iga yan tɣrmt tamqrant.","ايا يڭا يان تغرمت تامقرانت."
"They settled in Japan.","JAPAN","Other","JAPAN","JAPAN","JAPAN"
"When I got up this morning, it was raining.","ⵜⵇⵙⵍⵖ ⴰⵙⵙ ⴰⴷ, ⵜⵔⵥⵎ ⵍⴼⵓⴳⵍⴰ.","Other","ⵜⵇⵙⵍⵖ ⴰⵙⵙ ⴰⴷ, ⵜⵔⵥⵎ ⵍⴼⵓⴳⵍⴰ.","tqslɣ ass ad, trẓm lfugla.","تقسلغ اسس اد, ترزّم لفوڭلا."
"Colds are contagious.","ⵜⵉⴼⵉⵏⴰⵖ ⵏⴻⵖ ⵜⵜⴻⵙⵙⵏⴼⴰⵍⵏ.","Other","ⵜⵉⴼⵉⵏⴰⵖ ⵏⴻⵖ ⵜⵜⴻⵙⵙⵏⴼⴰⵍⵏ.","tifinaɣ neɣ ttessnfaln.","تيفيناغ ن°غ تت°سسنفالن."
"This dictionary isn't any good.","ⴰⵖⵎⵉⵙ ⴰⴷ ⵓⵔ ⵢⴰⵃⵉ.","Central","ⴰⵖⵎⵉⵙ ⴰⴷ ⵓⵔ ⵢⴰⵃⵉ.","aɣmis ad ur yaḥi.","اغميس اد ور ياحي."
"April showers bring May flowers.","ⴰⵔ ⵜⵜⵓⴼⴽⴰ ⵍⴱⴷⵓ ⵏ ⵢⵓⵏⵢⵓ ⴰⵔ ⵖⵓⵔⵙ ⵜⵉⴱⵓⵔⵣⵉⵏ ⵏ ⵎⴰⵢⵢⵓ.","Central","ⴰⵔ ⵜⵜⵓⴼⴽⴰ ⵍⴱⴷⵓ ⵏ ⵢⵓⵏⵢⵓ ⴰⵔ ⵖⵓⵔⵙ ⵜⵉⴱⵓⵔⵣⵉⵏ ⵏ ⵎⴰⵢⵢⵓ.","ar ttufka lbdu n yunyu ar ɣurs tiburzin n mayyu.","ار تتوفكا لبدو ن يونيو ار غورس تيبورزين ن ماييو."
"Cathy has a temper.","ⴽⴰⵜⵉ ⵖⵓⵔⵙ ⵢⴰⵏ ⵓⴷⵔⴰⵔ.","Central","ⴽⴰⵜⵉ ⵖⵓⵔⵙ ⵢⴰⵏ ⵓⴷⵔⴰⵔ.","kati ɣurs yan udrar.","كاتي غورس يان ودرار."
"I ate the cheese.","ⵔⵉⵖ ⵜⴰⵣⴰⵢⵔⵉⵜ.","Tarifit","ⵔⵉⵖ ⵜⴰⵣⴰⵢⵔⵉⵜ.","riɣ tazayrit.","ريغ تازايريت."
"Something else, sir?","ⵉⵙⴰⵔ ⴰⵔⴰ ⵢⴰⴹⵏ, ⵎⴰⵙⵙ?","Central","ⵉⵙⴰⵔ ⴰⵔⴰ ⵢⴰⴹⵏ, ⵎⴰⵙⵙ?","isar ara yaḍn, mass?","يسار ارا ياضن, ماسس?"
"I don't think Adam knows why Carmen went to the hospital.","ⵓⵔ ⵙⵙⵉⵏⵉⵖ ⵎⴰⵙⴷⴷⴷⴷ ⵉⵙⵙⵏ sⵎⴰⴷ ⵉⵅⵚⵚⴰ ⴽⴰⵔⵎⵏ ⴰⴷ ⵜⵔⵣⴼ ⵖ ⵓⵙⵉⴼ.","Central","ⵓⵔ ⵙⵙⵉⵏⵉⵖ ⵎⴰⵙⴷⴷⴷⴷ ⵉⵙⵙⵏ sⵎⴰⴷ ⵉⵅⵚⵚⴰ ⴽⴰⵔⵎⵏ ⴰⴷ ⵜⵔⵣⴼ ⵖ ⵓⵙⵉⴼ.","ur ssiniɣ masdddd issn smad ikhṣṣa karmn ad trzf ɣ usif.","ور سسينيغ ماسدددد يسسن sماد يخصصا كارمن اد ترزف غ وسيف."
"Many wild animals died because there was no food.","ⵎⵏⵏⴰⵡ ⵏ ⵉⵎⵓⴷⴰⵔ ⵏ ⵓⴽⵔⴹⵉ ⵎⵎⵓⵜⵏ ⵙ ⵓⵙⴽⴽⵉⵔ ⵏ ⵓⵛⵉⴼ.a","Central","ⵎⵏⵏⴰⵡ ⵏ ⵉⵎⵓⴷⴰⵔ ⵏ ⵓⴽⵔⴹⵉ ⵎⵎⵓⵜⵏ ⵙ ⵓⵙⴽⴽⵉⵔ ⵏ ⵓⵛⵉⴼ.a","mnnaw n imudar n ukrḍi mmutn s uskkir n ushif.a","منناو ن يمودار ن وكرضي مموتن س وسككير ن وشيف.a"
"Hey, keep your distance from the boss, today, he looks really upset about something.","ⴰⵀ, ⴰⵃⵟⵟⵓ ⴰⴱⵔⵉⴷ ⴰⴽⴷ ⵓⵏⴱⴱⴰⴹ, ⴰⵙⵙ ⴰⴷ, ⵉⵕⵥⵎ ⵉⵙ ⵉⵙⵙⵏ ⵓⵏⵏⴰⵍ ⵏ ⴽⵔⴰ ⵏ ⵜⵖⴰⵡⵙⴰ","Central","ⴰⵀ, ⴰⵃⵟⵟⵓ ⴰⴱⵔⵉⴷ ⴰⴽⴷ ⵓⵏⴱⴱⴰⴹ, ⴰⵙⵙ ⴰⴷ, ⵉⵕⵥⵎ ⵉⵙ ⵉⵙⵙⵏ ⵓⵏⵏⴰⵍ ⵏ ⴽⵔⴰ ⵏ ⵜⵖⴰⵡⵙⴰ","ah, aḥṭṭu abrid akd unbbaḍ, ass ad, iṛẓm is issn unnal n kra n tɣawsa","اه, احططو ابريد اكد ونبباض, اسس اد, يرزّم يس يسسن وننال ن كرا ن تغاوسا"
"It's your specialty.","ⴰⵢⴰⴷ ⵉⴳⴰⵏ ⵜⴰⵥⵓⵕⵉ ⵏⵏⴽ.1","Central","ⴰⵢⴰⴷ ⵉⴳⴰⵏ ⵜⴰⵥⵓⵕⵉ ⵏⵏⴽ.1","ayad igan taẓuṛi nnk.1","اياد يڭان تازّوري ننك.1"
"I can't put up with this noise.","ⵓⵔ ⵙⵎⵓⵔⵖ ⴰⴷ ⵙⵙⵉⵖ ⴰⵛⵏⵢⴰⵍ.","Other","ⵓⵔ ⵙⵎⵓⵔⵖ ⴰⴷ ⵙⵙⵉⵖ ⴰⵛⵏⵢⴰⵍ.","ur smurɣ ad ssiɣ ashnyal.","ور سمورغ اد سسيغ اشنيال."
"Tom doesn't know anything about classical music.","ⵓⵔ ⵉⵙⵙⵏ ⵟⵓⵎ ⴽⵔⴰ ⵏⵜⵜⴰⵜ ⵅⴼ ⵓⵎⵓⵙⵙⵓ ⴰⵎⴰⵣⵉⵖAAA.","Other","ⵓⵔ ⵉⵙⵙⵏ ⵟⵓⵎ ⴽⵔⴰ ⵏⵜⵜⴰⵜ ⵅⴼ ⵓⵎⵓⵙⵙⵓ ⴰⵎⴰⵣⵉⵖAAA.","ur issn ṭum kra nttat khf umussu amaziɣAAA.","ور يسسن طوم كرا نتتات خف وموسسو امازيغAAA."
"A true friend, who dares to tell us our faults, is the greatest gift of the gods.","ⴰⵎⴷⴷⴰⴽⵍ ⴰⵥⵓⵍⴰⵏ ⵏⵏⴰ ⵢⴰⴽⴽⴰ ⵡⴰⵔⵔⴰⵙ ⵏⵏⵖ, ⵉⴳⴰ ⵡⴰⵏⵉⵜⴰ ⴰⵅⴰⵜⴰⵔ ⵙⴳ ⵉⵎⴰⵍⵏ","Central","ⴰⵎⴷⴷⴰⴽⵍ ⴰⵥⵓⵍⴰⵏ ⵏⵏⴰ ⵢⴰⴽⴽⴰ ⵡⴰⵔⵔⴰⵙ ⵏⵏⵖ, ⵉⴳⴰ ⵡⴰⵏⵉⵜⴰ ⴰⵅⴰⵜⴰⵔ ⵙⴳ ⵉⵎⴰⵍⵏ","amddakl aẓulan nna yakka warras nnɣ, iga wanita akhatar sg imaln","امدداكل ازّولان ننا ياككا وارراس ننغ, يڭا وانيتا اخاتار سڭ يمالن"
"I'm a stranger here.","ⵓⵔ ⴳⵉⵖ ⵣ ⵖⵉⴷ","Tachelhit","ⵓⵔ ⴳⵉⵖ ⵣ ⵖⵉⴷ","ur giɣ z ɣid","ور ڭيغ ز غيد"
"Before we say goodbye, there's something I'd like to ask you.","dat ad nsnal, iqqand ad nskr yat tɣtast ik","Central","ⴷⴰⵝ ⴰⴷ ⵏⵙⵏⴰⵍ, ⵉⵇⵇⴰⵏⴷ ⴰⴷ ⵏⵙⴿⵔ ⵢⴰⵝ ⵝⵖⵝⴰⵙⵝ ⵉⴿ","dat ad nsnal, iqqand ad nskr yat tɣtast ik","dat ad nsnal, iqqand ad nskr yat tغtast ik"
"Our galaxy is called the Milky Way.","tẓallit nnɣ tssaɣn s tbridt n lalkṭaya","Tachelhit","ⵝⵥⴰⵍⵍⵉⵝ ⵏⵏⵖ ⵝⵙⵙⴰⵖⵏ ⵙ ⵝⴲⵔⵉⴷⵝ ⵏ ⵍⴰⵍⴿⵟⴰⵢⴰ","tẓallit nnɣ tssaɣn s tbridt n lalkṭaya","tẓallit nnغ tssaغn s tbridt n lalkṭaya"
"He knows modern English literature.","issn aẓṛig amaziɣ amaynu","Tachelhit","ⵉⵙⵙⵏ ⴰⵥⵕⵉⴴ ⴰⵎⴰⵣⵉⵖ ⴰⵎⴰⵢⵏⵓ","issn aẓṛig amaziɣ amaynu","issn aẓṛig amaziغ amaynu"
"He sat down for a moment and stopped talking.","ⵙⴰⴷⵎⵔ ⵉ ⴽⵔⴰ ⵏ ⵢⴰⵏ ⵀⴰⵜ ⴰⵔ ⴰⴽ ⵢⴰⵇⵇⵔⴰ ⴳ ⵓⵙⴰⵡⴰⵍ.","Other","ⵙⴰⴷⵎⵔ ⵉ ⴽⵔⴰ ⵏ ⵢⴰⵏ ⵀⴰⵜ ⴰⵔ ⴰⴽ ⵢⴰⵇⵇⵔⴰ ⴳ ⵓⵙⴰⵡⴰⵍ.","sadmr i kra n yan hat ar ak yaqqra g usawal.","سادمر ي كرا ن يان هات ار اك ياققرا ڭ وساوال."
"he city was full of hungry soldiers.","ⵜⵎⴷⵉⵏⵜ ⵙ ⵉⵡⴷⴰⵏ ⵏ ⵓⴳⵏⵙⵓ.","Other","ⵜⵎⴷⵉⵏⵜ ⵙ ⵉⵡⴷⴰⵏ ⵏ ⵓⴳⵏⵙⵓ.","tmdint s iwdan n ugnsu.","تمدينت س يودان ن وڭنسو."
"Tom had no idea Mary was sick.","ⵜⵓⵎ ⵓⵔⵉⵙⵙⵏ ⵉⵙⵜⵎⵔⵉⴷ ⵎⴰⵔⵉ","Tachelhit","ⵜⵓⵎ ⵓⵔⵉⵙⵙⵏ ⵉⵙⵜⵎⵔⵉⴷ ⵎⴰⵔⵉ","tum urissn istmrid mari","توم وريسسن يستمريد ماري"
"Tom is a bad influence on you.","tum tga yat tusi ixatarn ikni.","Central","ⵝⵓⵎ ⵝⴴⴰ ⵢⴰⵝ ⵝⵓⵙⵉ ⵉxⴰⵝⴰⵔⵏ ⵉⴿⵏⵉ.","tum tga yat tusi ixatarn ikni.","tum tga yat tusi ixatarn ikni."
"Who loves war?","ⵎⴰⵏⵉ ⵉⵃⴱⴰⵙⵏ ⵉⵎⵏⵖⵉ?","Central","ⵎⴰⵏⵉ ⵉⵃⴱⴰⵙⵏ ⵉⵎⵏⵖⵉ?","mani iḥbasn imnɣi?","ماني يحباسن يمنغي?"
"My computer was down yesterday.","ⵉⵛⵛⴰ ⵓⴽⴰⴱⵓⵟⴰⵔ ⵉⵏⵓ ⵉⴹ ⵍⵍⵉ ⵏ ⴰⵙⵙ.","Central","ⵉⵛⵛⴰ ⵓⴽⴰⴱⵓⵟⴰⵔ ⵉⵏⵓ ⵉⴹ ⵍⵍⵉ ⵏ ⴰⵙⵙ.","ishsha ukabuṭar inu iḍ lli n ass.","يششا وكابوطار ينو يض للي ن اسس."
"Hello!","ⴰⵣⵓⵍ!","Standard Moroccan Tamazight","ⴰⵣⵓⵍ!","azul!","ازول!"
"From an airplane, the small hills look flat.","ⵙⴳ ⵜⴰⵏⵏⴰⵢⵜ ⵏ ⵓⵣⵡⴰⴳ, ⵜⵉⵔⴱⴰⵜⵉⵏ ⵜⵉⵥⵥⵉⴹⵕⴰⵏⵉⵏ ⵜⵕⵡⴰⵏ ⵙ ⵓⵙⵡⵉⵔ ⴰⵙaⵡⵓⴷⴷⵓ.","Central","ⵙⴳ ⵜⴰⵏⵏⴰⵢⵜ ⵏ ⵓⵣⵡⴰⴳ, ⵜⵉⵔⴱⴰⵜⵉⵏ ⵜⵉⵥⵥⵉⴹⵕⴰⵏⵉⵏ ⵜⵕⵡⴰⵏ ⵙ ⵓⵙⵡⵉⵔ ⴰⵙaⵡⵓⴷⴷⵓ.","sg tannayt n uzwag, tirbatin tiẓẓiḍṛanin tṛwan s uswir asawuddu.","سڭ تاننايت ن وزواڭ, تيرباتين تيزّزّيضرانين تروان س وسوير اسaووددو."
"Tom praised Mary for always being on time.","ⵉⵙⵎⵖⵔ ⵎⴰⵔⵉ ⵎⴰⵔⵉ ⵎⴰⵙ ⵜⵍⵍⴰ ⴰⵀⴰ ⴳ ⵓⵣⵎⵣ.aa","Central","ⵉⵙⵎⵖⵔ ⵎⴰⵔⵉ ⵎⴰⵔⵉ ⵎⴰⵙ ⵜⵍⵍⴰ ⴰⵀⴰ ⴳ ⵓⵣⵎⵣ.aa","ismɣr mari mari mas tlla aha g uzmz.aa","يسمغر ماري ماري ماس تللا اها ڭ وزمز.aa"
"Given that most Esperanto speakers have learned the language on their own, the Internet in general and websites such as www.lernu.net in particular have been a blessing for the language.","acku tugt n imsawaln n usbiranṭu ssn ssn ssnt tutlayt, llant tignit s umata d wasitn n usit amm www.lernu.net slawan akkw, gant tabrdadt i tutlayt.1","Central","ⴰcⴿⵓ ⵝⵓⴴⵝ ⵏ ⵉⵎⵙⴰⵡⴰⵍⵏ ⵏ ⵓⵙⴲⵉⵔⴰⵏⵟⵓ ⵙⵙⵏ ⵙⵙⵏ ⵙⵙⵏⵝ ⵝⵓⵝⵍⴰⵢⵝ, ⵍⵍⴰⵏⵝ ⵝⵉⴴⵏⵉⵝ ⵙ ⵓⵎⴰⵝⴰ ⴷ ⵡⴰⵙⵉⵝⵏ ⵏ ⵓⵙⵉⵝ ⴰⵎⵎ ⵡⵡⵡ.ⵍⴻⵔⵏⵓ.ⵏⴻⵝ ⵙⵍⴰⵡⴰⵏ ⴰⴿⴿⵡ, ⴴⴰⵏⵝ ⵝⴰⴲⵔⴷⴰⴷⵝ ⵉ ⵝⵓⵝⵍⴰⵢⵝ.1","acku tugt n imsawaln n usbiranṭu ssn ssn ssnt tutlayt, llant tignit s umata d wasitn n usit amm www.lernu.net slawan akkw, gant tabrdadt i tutlayt.1","acku tugt n imsawaln n usbiranṭu ssn ssn ssnt tutlayt, llant tignit s umata d wasitn n usit amm www.lernu.net slawan akkw, gant tabrdadt i tutlayt.1"
"I'm sorry I kept you waiting so long.","ssfiɣ akkn aɣ irza akkn.11","Central","ⵙⵙⴼⵉⵖ ⴰⴿⴿⵏ ⴰⵖ ⵉⵔⵣⴰ ⴰⴿⴿⵏ.11","ssfiɣ akkn aɣ irza akkn.11","ssfiغ akkn aغ irza akkn.11"
"It's been a year since the French and the Dutch said ""no!""","dar yan usggwas izrin iman n ifransisn d iman n dulandisn inna  u11r !","Central","ⴷⴰⵔ ⵢⴰⵏ ⵓⵙⴴⴴⵡⴰⵙ ⵉⵣⵔⵉⵏ ⵉⵎⴰⵏ ⵏ ⵉⴼⵔⴰⵏⵙⵉⵙⵏ ⴷ ⵉⵎⴰⵏ ⵏ ⴷⵓⵍⴰⵏⴷⵉⵙⵏ ⵉⵏⵏⴰ  ⵓ11ⵔ !","dar yan usggwas izrin iman n ifransisn d iman n dulandisn inna  u11r !","dar yan usggwas izrin iman n ifransisn d iman n dulandisn inna  u11r !"
"Heart","Our","Tarifit","Oⵓⵔ","Our","Our"
"My","Inu","Tarifit","Iⵏⵓ","Inu","Inu"
"I","Nech","Tarifit","Nⴻcⵁ","Nech","Nech"
"Enough","Baraka","Tarifit","Bⴰⵔⴰⴿⴰ","Baraka","Baraka"
"She","Natath","Tarifit","Nⴰⵝⴰⵝⵁ","Natath","Natath"
"woman","Tamghath","Tarifit","Tⴰⵎⴴⵁⴰⵝⵁ","Tamghath","Tamghath"
"I dream","nach tmnigh","Tarifit","ⵏⴰcⵁ ⵝⵎⵏⵉⴴⵁ","nach tmnigh","nach tmnigh"
"When you're reading an English book, it isn't a great idea to look up every word you don't know.","ⵍⵍⵉⵖ ⵜⵙⵙⵏⴷ ⴽⵔⴰ ⵏ ⵓⴷⵍⵉⵙ ⴰⵎⴰⵣⵉⵖ, ⵓⵔ ⵜⵍⵉ ⵢⴰⵜ ⵜⵡⵏⴳⵉⵎⵜ ⵉⵖⵓⴷⴰⵏ ⴰⴷ ⵜⵔⵣⴼ ⴽⵓⵍ ⵜⴳⵓⵔⵉ ⵓⵔ.","Other","ⵍⵍⵉⵖ ⵜⵙⵙⵏⴷ ⴽⵔⴰ ⵏ ⵓⴷⵍⵉⵙ ⴰⵎⴰⵣⵉⵖ, ⵓⵔ ⵜⵍⵉ ⵢⴰⵜ ⵜⵡⵏⴳⵉⵎⵜ ⵉⵖⵓⴷⴰⵏ ⴰⴷ ⵜⵔⵣⴼ ⴽⵓⵍ ⵜⴳⵓⵔⵉ ⵓⵔ.","lliɣ tssnd kra n udlis amaziɣ, ur tli yat twngimt iɣudan ad trzf kul tguri ur.","لليغ تسسند كرا ن ودليس امازيغ, ور تلي يات تونڭيمت يغودان اد ترزف كول تڭوري ور."
"Why don't we ask for his advice?","ⵎⴰⵏⵉ ⵓⵔ ⵏⵙⵓⵜⵔ ⴰⵙⴳⵎⴹ ⵏⵏⵙ?","Central","ⵎⴰⵏⵉ ⵓⵔ ⵏⵙⵓⵜⵔ ⴰⵙⴳⵎⴹ ⵏⵏⵙ?","mani ur nsutr asgmḍ nns?","ماني ور نسوتر اسڭمض ننس?"
"Man","argaz","Central","ⴰⵔⴴⴰⵣ","argaz","argaz"
"no","uhu","Central","ⵓⵁⵓ","uhu","uhu"
"Thank you","tanmirt","Central","ⵝⴰⵏⵎⵉⵔⵝ","tanmirt","tanmirt"
"Hello","Azul","Central","Aⵣⵓⵍ","Azul","Azul"
"now","dɣikk","Central","ⴷⵖⵉⴿⴿ","dɣikk","dغikk"
"rain","anẓar","Central","ⴰⵏⵥⴰⵔ","anẓar","anẓar"
"Cold","asmmiḍ","Central","ⴰⵙⵎⵎⵉⴺ","asmmiḍ","asmmiḍ"
"It's cold","ismmiḍ lḥal","Central","ⵉⵙⵎⵎⵉⴺ ⵍⵃⴰⵍ","ismmiḍ lḥal","ismmiḍ lḥal"
"It's very cold","iqrf lḥal","Central","ⵉⵇⵔⴼ ⵍⵃⴰⵍ","iqrf lḥal","iqrf lḥal"
"It's hot","irɣa lḥal","Central","ⵉⵔⵖⴰ ⵍⵃⴰⵍ","irɣa lḥal","irغa lḥal"
"How old are you?","ⵎⵏⵏⴰⵡ ⵉⵙⴳⴳⵯⴰⵙⵏ ⴰⴷ ⴷⴰⵔⴽ ⵉⵍⵍⴰⵏ?","Tachelhit","ⵎⵏⵏⴰⵡ ⵉⵙⴳⴳⵯⴰⵙⵏ ⴰⴷ ⴷⴰⵔⴽ ⵉⵍⵍⴰⵏ?","mnnaw isggⵯasn ad dark illan?","منناو يسڭڭⵯاسن اد دارك يللان?"
"How old are you?","ⵎⵏⵏⴰⵡ ⵉⵙⴳⴳⵯⴰⵙⵏ ⴰⴷ ⴷⴰⵔⵎ ⵉⵍⵍⴰⵏ?","Tachelhit","ⵎⵏⵏⴰⵡ ⵉⵙⴳⴳⵯⴰⵙⵏ ⴰⴷ ⴷⴰⵔⵎ ⵉⵍⵍⴰⵏ?","mnnaw isggⵯasn ad darm illan?","منناو يسڭڭⵯاسن اد دارم يللان?"
"How are you?","ⵎⴰⵏⵣⴰⴽ ⵉⵏⵏ?","Tachelhit","ⵎⴰⵏⵣⴰⴽ ⵉⵏⵏ?","manzak inn?","مانزاك ينن?"
"How are you?","ⵎⵏⵎⴽ ⴰⴷ ⵏⵏ ⵜⴳⵉⵜ?","Tachelhit","ⵎⵏⵎⴽ ⴰⴷ ⵏⵏ ⵜⴳⵉⵜ?","mnmk ad nn tgit?","منمك اد نن تڭيت?"
"I do not know","ⵓⵔ ⵙⵙⵉⵏⵖ","Tachelhit","ⵓⵔ ⵙⵙⵉⵏⵖ","ur ssinɣ","ور سسينغ"
"Outside of the Rif, there are many riffians in cities such as Tangier, Fez and Oujda.","Ɣer berra i Arrif, nettaf aṭṭas n Irifiyen di tneddam am Ṭanja, Tiṭṭawin, Fas niɣ Wejda. ","Other","Ɣⴻⵔ ⴲⴻⵔⵔⴰ ⵉ Aⵔⵔⵉⴼ, ⵏⴻⵝⵝⴰⴼ ⴰⵟⵟⴰⵙ ⵏ Iⵔⵉⴼⵉⵢⴻⵏ ⴷⵉ ⵝⵏⴻⴷⴷⴰⵎ ⴰⵎ Ṭⴰⵏⵊⴰ, Tⵉⵟⵟⴰⵡⵉⵏ, Fⴰⵙ ⵏⵉⵖ Wⴻⵊⴷⴰ. ","Ɣer berra i Arrif, nettaf aṭṭas n Irifiyen di tneddam am Ṭanja, Tiṭṭawin, Fas niɣ Wejda. ","Ɣer berra i Arrif, nettaf aṭṭas n Irifiyen di tneddam am Ṭanja, Tiṭṭawin, Fas niغ Wejda. "
