English_Sentence,Tamazight_Sentence,Dialect,Tamazight_Tifinagh,Tamazight_Arabic,Tamazight_Latin
I am not as young as Miss Brown.,ⵓⵔ ⴳⵉⵖ ⴰⵄⵔⵔⵉⵎ ⵣⵓⵏ ⴷ ⵎⴰⵙⵙⴰ ⴱⵕⴰⵡⵏ.,Tachelhit,ⵓⵔ ⴳⵉⵖ ⴰⵄⵔⵔⵉⵎ ⵣⵓⵏ ⴷ ⵎⴰⵙⵙⴰ ⴱⵕⴰⵡⵏ.,ور ڭيغ اعرريم زون د ماسسا برّاون.,ur giɣ aɛrrim zun d massa bṛawn.
Video library.,tavidyutikt.,Other,ⵜⴰⵠⵉⴷⵢⵓⵜⵉⴽⵜ.,تافيديوتيكت.,tavidyutikt.
Venezuela.,Vinizwila.,Other,ⵠⵉⵏⵉⵣⵡⵉⵍⴰ.,فينيزويلا.,vinizwila.
I am not as young as Miss Brown.,ⵓⵔ ⴳⵉⵖ ⵜⴰⵄⵔⵔⵉⵎⵜ ⵣⵓⵏ ⴷ ⵎⴰⵙⵙⴰ ⴱⵕⴰⵡⵏ.,Tachelhit,ⵓⵔ ⴳⵉⵖ ⵜⴰⵄⵔⵔⵉⵎⵜ ⵣⵓⵏ ⴷ ⵎⴰⵙⵙⴰ ⴱⵕⴰⵡⵏ.,ور ڭيغ تاعرريمت زون د ماسسا برّاون.,ur giɣ taɛrrimt zun d massa bṛawn.
Kabyle.,aqbayli.,Other,ⴰⵇⴱⴰⵢⵍⵉ.,اقبايلي.,a9bayli.
Pivot.,bbnbn.,Other,ⴱⴱⵏⴱⵏ.,ببنبن.,bbnbn.
Rib.,aɣsdis.,Tarifit,ⴰⵖⵙⴷⵉⵙ.,اغسديس.,aɣsdis.
He has sifted.,isuzzr.,Other,ⵉⵙⵓⵣⵣⵔ.,يسوززر.,isuzzr.
Everybody wants to sit beside her.,ⴽⵓ ⵢⴰⵏ ⵉⵔⴰ ⴰⴷ ⵉⴳⴰⵡⵔ ⵖ ⵜⴰⵎⴰ ⵏⵏⵙ.,Tachelhit,ⴽⵓ ⵢⴰⵏ ⵉⵔⴰ ⴰⴷ ⵉⴳⴰⵡⵔ ⵖ ⵜⴰⵎⴰ ⵏⵏⵙ.,كو يان يرا اد يڭاور غ تاما ننس.,ku yan ira ad igawr ɣ tama nns.
It is sifted.,yazzur.,Other,ⵢⴰⵣⵣⵓⵔ.,ياززور.,yazzur.
Make it happen!,zzri!,Other,ⵣⵣⵔⵉ!,ززري!,zzri!
Come on!,zri!,Other,ⵣⵔⵉ!,زري!,zri!
Everybody wants to sit beside her.,ⴽⵓ ⵢⴰⵜ ⵜⵔⴰ ⴰⴷ ⵜⴳⴰⵡⵔ ⵖ ⵜⴰⵎⴰ ⵏⵏⵙ.,Tachelhit,ⴽⵓ ⵢⴰⵜ ⵜⵔⴰ ⴰⴷ ⵜⴳⴰⵡⵔ ⵖ ⵜⴰⵎⴰ ⵏⵏⵙ.,كو يات ترا اد تڭاور غ تاما ننس.,ku yat tra ad tgawr ɣ tama nns.
Let me in!,sskcm!,Other,ⵙⵙⴽⵛⵎ!,سسكشم!,sskshm!
Come in!,kcm!,Other,ⴽⵛⵎ!,كشم!,kshm!
It has perfumed.,isujja.,Other,ⵉⵙⵓⵊⵊⴰ.,يسوججا.,isujja.
Everybody wants to sit beside her.,ⴽⵓ ⵢⴰⵏ ⵉⵔⴰ ⴰⴷ ⵉⵙⴽⴽⵓⵙ ⵖ ⵜⴰⵎⴰ ⵏⵏⵙ.,Tachelhit,ⴽⵓ ⵢⴰⵏ ⵉⵔⴰ ⴰⴷ ⵉⵙⴽⴽⵓⵙ ⵖ ⵜⴰⵎⴰ ⵏⵏⵙ.,كو يان يرا اد يسككوس غ تاما ننس.,ku yan ira ad iskkus ɣ tama nns.
It smells good.,ijja.,Other,ⵉⵊⵊⴰ.,يججا.,ijja.
Everybody wants to sit beside her.,ⴽⵓ ⵢⴰⵜ ⵜⵔⴰ ⴰⴷ ⵜⵙⴽⴽⵓⵙ ⵖ ⵜⴰⵎⴰ ⵏⵏⵙ.,Tachelhit,ⴽⵓ ⵢⴰⵜ ⵜⵔⴰ ⴰⴷ ⵜⵙⴽⴽⵓⵙ ⵖ ⵜⴰⵎⴰ ⵏⵏⵙ.,كو يات ترا اد تسككوس غ تاما ننس.,ku yat tra ad tskkus ɣ tama nns.
Soup.,azkkif.,Other,ⴰⵣⴽⴽⵉⴼ.,ازككيف.,azkkif.
None.,iɣf.,Other,ⵉⵖⴼ.,يغف.,iɣf.
Resident.,amzdaɣ.,Other,ⴰⵎⵣⴷⴰⵖ.,امزداغ.,amzdaɣ.
Resident.,tamzdaɣt.,Other,ⵜⴰⵎⵣⴷⴰⵖⵜ.,تامزداغت.,tamzdaɣt.
Let it grow.,ad yimɣur.,Tarifit,ⴰⴷ ⵢⵉⵎⵖⵓⵔ.,اد ييمغور.,ad yimɣur.
It's big.,imqqur.,Other,ⵉⵎⵇⵇⵓⵔ.,يمققور.,im99ur.
I told him that I get up at seven every morning.,ⵏⵏⵉⵖ ⴰⵙ ⵎⴰⵙ ⴷ ⵏⴽⴽ ⴰⵔ ⴷ ⵏⴽⴽⵔⵖ ⵖ ⵜⵉⵙⵙ ⵙⴰⵜ ⴳⵔⴰⵢⴳⴰⵜ ⵜⴰⵢⵍⴳⵉ.,Tachelhit,ⵏⵏⵉⵖ ⴰⵙ ⵎⴰⵙ ⴷ ⵏⴽⴽ ⴰⵔ ⴷ ⵏⴽⴽⵔⵖ ⵖ ⵜⵉⵙⵙ ⵙⴰⵜ ⴳⵔⴰⵢⴳⴰⵜ ⵜⴰⵢⵍⴳⵉ.,ننيغ اس ماس د نكك ار د نككرغ غ تيسس سات ڭرايڭات تايلڭي.,nniɣ as mas d nkk ar d nkkrɣ ɣ tiss sat graygat taylgi.
They attained their goal.,ⵍⴽⵎⵏ ⴰⵡⵜⵜⴰⵙ ⵏⵏⵙⵏ.,Tachelhit,ⵍⴽⵎⵏ ⴰⵡⵜⵜⴰⵙ ⵏⵏⵙⵏ.,لكمن اوتتاس ننسن.,lkmn awttas nnsn.
Basil bush.,lḥbqt.,Other,ⵍⵃⴱⵇⵜ.,لحبقت.,lḥb9t.
Lame.,aḥiḍar.,Tarifit,ⴰⵃⵉⴹⴰⵔ.,احيضار.,aḥiḍar.
They attained their goal.,ⵍⴽⵎⵏⵜ ⴰⵡⵜⵜⴰⵙ ⵏⵏⵙⵏⵜ.,Tachelhit,ⵍⴽⵎⵏⵜ ⴰⵡⵜⵜⴰⵙ ⵏⵏⵙⵏⵜ.,لكمنت اوتتاس ننسنت.,lkmnt awttas nnsnt.
Belly.,adis.,Other,ⴰⴷⵉⵙ.,اديس.,adis.
Belly.,aɛddis.,Tarifit,ⴰⵄⴷⴷⵉⵙ.,اعدديس.,aɛddis.
Navel.,abuḍ.,Other,ⴰⴱⵓⴹ.,ابوض.,abuḍ.
Hegira.,lhijra.,Other,ⵍⵀⵉⵊⵔⴰ.,لهيجرا.,lhijra.
Nose.,ahnfur.,Central,ⴰⵀⵏⴼⵓⵔ.,اهنفور.,ahnfur.
Tom didn't want to tell Mary about what had happened.,ⵓⵔ ⵉⵔⵉ ⵟⵓⵎ ⴰⴷ ⵢⴰⵍⵙ ⵉ ⵎⴰⵔⵉ ⵖⴼ ⵎⵉⵏ ⵉⵎⵙⴰⵔⵏ.,Central,ⵓⵔ ⵉⵔⵉ ⵟⵓⵎ ⴰⴷ ⵢⴰⵍⵙ ⵉ ⵎⴰⵔⵉ ⵖⴼ ⵎⵉⵏ ⵉⵎⵙⴰⵔⵏ.,ور يري طوم اد يالس ي ماري غف مين يمسارن.,ur iri ṭum ad yals i mari ɣf min imsarn.
To go to school.,hrhr.,Other,ⵀⵔⵀⵔ.,هرهر.,hrhr.
Hydrogen.,ahidrujin.,Other,ⴰⵀⵉⴷⵔⵓⵊⵉⵏ.,اهيدروجين.,ahidrujin.
Himalayas.,Himalaya.,Other,ⵀⵉⵎⴰⵍⴰⵢⴰ.,هيمالايا.,himalaya.
He didn't have time to spend with his children.,ⵓⵔ ⴷⴰⵔⵙ ⵜⵉⵣⵉ ⵎⴰ ⴰⴷ ⵉⵣⵣⵔⴰⵢ ⴷ ⵜⴰⵔⵡⴰ ⵏⵏⵙ.,Tachelhit,ⵓⵔ ⴷⴰⵔⵙ ⵜⵉⵣⵉ ⵎⴰ ⴰⴷ ⵉⵣⵣⵔⴰⵢ ⴷ ⵜⴰⵔⵡⴰ ⵏⵏⵙ.,ور دارس تيزي ما اد يززراي د تاروا ننس.,ur dars tizi ma ad izzray d tarwa nns.
This is my friend.,ⵡⴰ ⴷ ⴰⵎⴷⴷⴰⴽⴽⵯⵍ ⵉⵏⵓ.,Tachelhit,ⵡⴰ ⴷ ⴰⵎⴷⴷⴰⴽⴽⵯⵍ ⵉⵏⵓ.,وا د امدداككⵯل ينو.,wa d amddakkⵯl inu.
This is my friend.,ⵜⴰ ⴷ ⵜⴰⵎⴷⴷⴰⴽⴽⵯⵍⵜ ⵉⵏⵓ.,Tachelhit,ⵜⴰ ⴷ ⵜⴰⵎⴷⴷⴰⴽⴽⵯⵍⵜ ⵉⵏⵓ.,تا د تامدداككⵯلت ينو.,ta d tamddakkⵯlt inu.
Tom is Mary's current boyfriend.,ⵟⵓⵎ ⴷ ⴰⵎⴷⴷⴰⴽⴽⵯⵍ ⵏ ⵎⴰⵔⵉ ⴰⵎⵉⵔⴰⵏ.,Tachelhit,ⵟⵓⵎ ⴷ ⴰⵎⴷⴷⴰⴽⴽⵯⵍ ⵏ ⵎⴰⵔⵉ ⴰⵎⵉⵔⴰⵏ.,طوم د امدداككⵯل ن ماري اميران.,ṭum d amddakkⵯl n mari amiran.
Christmas is soon.,ⵢⴰⵥ ⴷ ⵓⴽⵔⵉⵙⵎⴰⵙ.,Tachelhit,ⵢⴰⵥ ⴷ ⵓⴽⵔⵉⵙⵎⴰⵙ.,يازّ د وكريسماس.,yaẓ d ukrismas.
Bassal.,tamda.,Tarifit,ⵜⴰⵎⴷⴰ.,تامدا.,tamda.
Scorpio.,tɣirdmt.,Tarifit,ⵜⵖⵉⵔⴷⵎⵜ.,تغيردمت.,tɣirdmt.
What did you do yesterday?,ⵎⴰ ⴰⴷ ⵜⵙⴽⵔⵜ ⵉⴹⴳⴰⵎ?,Tachelhit,ⵎⴰ ⴰⴷ ⵜⵙⴽⵔⵜ ⵉⴹⴳⴰⵎ?,ما اد تسكرت يضڭام?,ma ad tskrt iḍgam?
Run away!,rul!,Other,ⵔⵓⵍ!,رول!,rul!
Overcast.,malu.,Tarifit,ⵎⴰⵍⵓ.,مالو.,malu.
Shadow.,malu.,Other,ⵎⴰⵍⵓ.,مالو.,malu.
Shadow.,tili.,Tarifit,ⵜⵉⵍⵉ.,تيلي.,tili.
I didn't know.,ⵓⵔ ⵢⴰⴷⵍⵍⵉ ⵙⵙⵉⵏⵖ.,Tachelhit,ⵓⵔ ⵢⴰⴷⵍⵍⵉ ⵙⵙⵉⵏⵖ.,ور يادللي سسينغ.,ur yadlli ssinɣ.
It seems!,aru!,Other,ⴰⵔⵓ!,ارو!,aru!
Write!,aru!,Other,ⴰⵔⵓ!,ارو!,aru!
She hasn't given birth.,ur turiw.,Other,ⵓⵔ ⵜⵓⵔⵉⵡ.,ور توريو.,ur turiw.
He hasn't written.,ur turi.,Other,ⵓⵔ ⵜⵓⵔⵉ.,ور توري.,ur turi.
Forget it!,ttu!,Tarifit,ⵜⵜⵓ!,تتو!,ttu!
I forgot.,ttuɣ.,Tarifit,ⵜⵜⵓⵖ.,تتوغ.,ttuɣ.
Is this your new car?,ⵉⵙ ⴷ ⵜⵉⵀⵉⵔⵉⵜ ⵜⴰⵎⴰⵢⵏⵓⵜ ⵏⵏⴽ ⴰⵢⴰ?,Tachelhit,ⵉⵙ ⴷ ⵜⵉⵀⵉⵔⵉⵜ ⵜⴰⵎⴰⵢⵏⵓⵜ ⵏⵏⴽ ⴰⵢⴰ?,يس د تيهيريت تاماينوت ننك ايا?,is d tihirit tamaynut nnk aya?
Let it go.,iftu,Other,ⵉⴼⵜⵓ,يفتو,iftu
Go away.,ftu.,Other,ⴼⵜⵓ.,فتو.,ftu.
He's gone.,ifta.,Other,ⵉⴼⵜⴰ.,يفتا.,ifta.
Is this your new car?,ⵉⵙ ⴷ ⵜⵉⵀⵉⵔⵉⵜ ⵏⵏⵎ ⴰⵢⴰ?,Tachelhit,ⵉⵙ ⴷ ⵜⵉⵀⵉⵔⵉⵜ ⵏⵏⵎ ⴰⵢⴰ?,يس د تيهيريت ننم ايا?,is d tihirit nnm aya?
Strike!,ut!,Other,ⵓⵜ!,وت!,ut!
I hit.,utɣ.,Other,ⵓⵜⵖ.,وتغ.,utɣ.
She has struck.,tut.,Other,ⵜⵓⵜ.,توت.,tut.
He has struck.,iwt.,Other,ⵉⵡⵜ.,يوت.,iwt.
She hasn't hit.,ur twit.,Other,ⵓⵔ ⵜⵡⵉⵜ.,ور تويت.,ur twit.
Fugitive.,amrwal.,Other,ⴰⵎⵔⵡⴰⵍ.,امروال.,amrwal.
He is alive.,iddr.,Tarifit,ⵉⴷⴷⵔ.,يددر.,iddr.
May he live.,ad yidir,Other,ⴰⴷ ⵢⵉⴷⵉⵔ,اد ييدير,ad yidir
He has taken.,yusi.,Other,ⵢⵓⵙⵉ.,يوسي.,yusi.
It doesn't fit.,ur yusi.,Other,ⵓⵔ ⵢⵓⵙⵉ.,ور يوسي.,ur yusi.
Grab it!,asi!,Other,ⴰⵙⵉ!,اسي!,asi!
Be situated!,as!,Other,ⴰⵙ!,اس!,as!
Go!,ddu!,Other,ⴷⴷⵓ!,ددو!,ddu!
Lighting.,asidd.,Other,ⴰⵙⵉⴷⴷ.,اسيدد.,asidd.
They drank it.,swant-t.,Other,ⵙⵡⴰⵏⵜ-ⵜ.,سوانت-ت.,swant-t.
Spy!,zbu!,Other,ⵣⴱⵓ!,زبو!,zbu!
Keep spying!,zbbu!,Other,ⵣⴱⴱⵓ!,زببو!,zbbu!
He has seen it.,iẓra-t.,Other,ⵉⵥⵔⴰ-ⵜ.,يزّرا-ت.,iẓra-t.
He has seen her.,iẓra-tt.,Other,ⵉⵥⵔⴰ-ⵜⵜ.,يزّرا-تت.,iẓra-tt.
Sweat.,tidi.,Tarifit,ⵜⵉⴷⵉ.,تيدي.,tidi.
Height.,tiddi.,Tarifit,ⵜⵉⴷⴷⵉ.,تيددي.,tiddi.
Smell!,kḍu!,Other,ⴽⴹⵓ!,كضو!,kḍu!
Keep sniffing!,kṭṭu!,Other,ⴽⵟⵟⵓ!,كططو!,kṭṭu!
Pasture!,ks!,Other,ⴽⵙ!,كس!,ks!
Take it out!,kks!,Tarifit,ⴽⴽⵙ!,ككس!,kks!
Grass.,tuga.,Other,ⵜⵓⴳⴰ.,توڭا.,tuga.
Testimony.,tugga.,Other,ⵜⵓⴳⴳⴰ.,توڭڭا.,tugga.
Chisel!,nqc!,Other,ⵏⵇⵛ!,نقش!,n9sh!
Keep chiseling!,nqqc!,Other,ⵏⵇⵇⵛ!,نققش!,n99sh!
It's better.,yuf.,Other,ⵢⵓⴼ.,يوف.,yuf.
It is swollen.,yuff.,Tarifit,ⵢⵓⴼⴼ.,يوفف.,yuff.
Drink!,su!,Tarifit,ⵙⵓ!,سو!,su!
Water!,ssu!,Tarifit,ⵙⵙⵓ!,سسو!,ssu!
Disobey!,ɛṣu!,Other,ⵄⵚⵓ!,عصو!,ɛṣu!
Keep disobeying!,ɛṣṣu!,Other,ⵄⵚⵚⵓ!,عصصو!,ɛṣṣu!
Ginger.,azar.,Other,ⴰⵣⴰⵔ.,ازار.,azar.
Hairdresser.,azzar.,Other,ⴰⵣⵣⴰⵔ.,اززار.,azzar.
Be small!,imẓiy!,Other,ⵉⵎⵥⵉⵢ!,يمزّيي!,imẓiy!
He is small.,imẓẓiy.,Other,ⵉⵎⵥⵥⵉⵢ.,يمزّزّيي.,imẓẓiy.
He has spared no effort.,icḥa.,Other,ⵉⵛⵃⴰ.,يشحا.,ishḥa.
It has become a trap.,iccḥa,Other,ⵉⵛⵛⵃⴰ,يششحا,ishshḥa
It happened.,ijra.,Other,ⵉⵊⵔⴰ.,يجرا.,ijra.
He has committed.,ijjra.,Other,ⵉⵊⵊⵔⴰ.,يججرا.,ijjra.
Grow up!,imɣur!,Other,ⵉⵎⵖⵓⵔ!,يمغور!,imɣur!
He is big.,imqqur.,Other,ⵉⵎⵇⵇⵓⵔ.,يمققور.,im99ur.
Be lazy!,bxl!,Other,ⴱⵅⵍ!,بخل!,b5l!
Keep on lazing around!,bxxl!,Other,ⴱⵅⵅⵍ!,بخخل!,b55l!
Push!,dḥi!,Other,ⴷⵃⵉ!,دحي!,dḥi!
Keep pushing!,dḥḥi!,Other,ⴷⵃⵃⵉ!,دححي!,dḥḥi!
Keep roaring!,sguɛɛu!,Other,ⵙⴳⵓⵄⵄⵓ!,سڭوععو!,sguɛɛu!
Surprise yourself!,dhc!,Tarifit,ⴷⵀⵛ!,دهش!,dhsh!
Keep being surprised!,dhhc.,Tarifit,ⴷⵀⵀⵛ.,دههش.,dhhsh.
My mother,immi,Other,ⵉⵎⵎⵉ,يممي,immi
Say!,ini!,Tarifit,ⵉⵏⵉ!,يني!,ini!
Snail.,inni.,Other,ⵉⵏⵏⵉ.,ينني.,inni.
Write!,ara!,Other,ⴰⵔⴰ!,ارا!,ara!
Written.,arra.,Other,ⴰⵔⵔⴰ.,اررا.,arra.
Tea.,ila.,Other,ⵉⵍⴰ.,يلا.,ila.
It is found.,illa,Tarifit,ⵉⵍⵍⴰ,يللا,illa
Be ashamed!,ttɛyab!,Other,ⵜⵜⵄⵢⴰⴱ!,تتعياب!,ttɛyab!
Criticism!,ttɛyyab!,Tarifit,ⵜⵜⵄⵢⵢⴰⴱ!,تتعيياب!,ttɛyyab!
Air yourself out!,zwu!,Other,ⵣⵡⵓ!,زوو!,zwu!
Keep airing out!,zggʷu!,Other,ⵣⴳⴳʷⵓ!,زڭڭو!,zggʷu!
Wave.,taḍḍanga.,Other,ⵜⴰⴹⴹⴰⵏⴳⴰ.,تاضضانڭا.,taḍḍanga.
Wool.,taḍuft.,Tarifit,ⵜⴰⴹⵓⴼⵜ.,تاضوفت.,taḍuft.
Xerigot.,aɣɣu.,Other,ⴰⵖⵖⵓ.,اغغو.,aɣɣu.
I'm out.,ffɣeɣ.,Tarifit,ⴼⴼⵖⴻⵖ.,ففغغ.,ffɣeɣ.
To be flattened.,ɣɣrɣr.,Other,ⵖⵖⵔⵖⵔ.,غغرغر.,ɣɣrɣr.
To get angry.,ɣɣunzr.,Other,ⵖⵖⵓⵏⵣⵔ.,غغونزر.,ɣɣunzr.
Make the donkey.,ɣɣuyyl.,Other,ⵖⵖⵓⵢⵢⵍ.,غغوييل.,ɣɣuyyl.
Having an aquiline nose.,ɣɣunjr.,Other,ⵖⵖⵓⵏⵊⵔ.,غغونجر.,ɣɣunjr.
To harden.,ɣɣuss.,Other,ⵖⵖⵓⵙⵙ.,غغوسس.,ɣɣuss.
Headquarters!,skiwws!,Other,ⵙⴽⵉⵡⵡⵙ!,سكيووس!,skiwws!
Gambuix.,aḥwwaq.,Tarifit,ⴰⵃⵡⵡⴰⵇ.,احوواق.,aḥwwa9.
Whip.,aswwḍ.,Other,ⴰⵙⵡⵡⴹ.,اسووض.,aswwḍ.
International women's day.,ⴰⵙⵙ ⴰⴳⵔⴰⵖⵍⴰⵏ ⵏ ⵜⵎⵖⴰⵔⵉⵏ.,Tachelhit,ⴰⵙⵙ ⴰⴳⵔⴰⵖⵍⴰⵏ ⵏ ⵜⵎⵖⴰⵔⵉⵏ.,اسس اڭراغلان ن تمغارين.,ass agraɣlan n tmɣarin.
Happy birthday.,ⴰⵙⵙ ⵏ ⵜⵍⴰⵍⵉⵜ ⴰⵏⴰⵎⵎⴰⵔ.,Tachelhit,ⴰⵙⵙ ⵏ ⵜⵍⴰⵍⵉⵜ ⴰⵏⴰⵎⵎⴰⵔ.,اسس ن تلاليت اناممار.,ass n tlalit anammar.
Happy new year.,ⴰⵙⴳⴳⵯⴰⵙ ⴰⵎⴰⵢⵏⵓ ⴰⵏⴰⵎⵎⴰⵔ.,Tachelhit,ⴰⵙⴳⴳⵯⴰⵙ ⴰⵎⴰⵢⵏⵓ ⴰⵏⴰⵎⵎⴰⵔ.,اسڭڭⵯاس اماينو اناممار.,asggⵯas amaynu anammar.
Lunch,ⵉⵎⴽⵍⵉ,Tachelhit,ⵉⵎⴽⵍⵉ,يمكلي,imkli
Dinner,ⵉⵎⵏⵙⵉ,Tachelhit,ⵉⵎⵏⵙⵉ,يمنسي,imnsi
Breakfast,ⴰⵖⵓⵊⵊⵔ,Tachelhit,ⴰⵖⵓⵊⵊⵔ,اغوججر,aɣujjr
Drink!,ⵙⵓ!,Tachelhit,ⵙⵓ!,سو!,su!
Eat!,ⵛⵛ!,Tachelhit,ⵛⵛ!,شش!,shsh!
Hit!,ⵓⵜ!,Tachelhit,ⵓⵜ!,وت!,ut!
There are many beautiful parks in London.,ⵍⵍⴰⵏⵜ ⴽⵉⴳⴰⵏ ⵏ ⵜⵓⵔⵜⵉⵜⵉⵏ ⴳ ⵍⵓⵏⴹⵓⵏ.,Tachelhit,ⵍⵍⴰⵏⵜ ⴽⵉⴳⴰⵏ ⵏ ⵜⵓⵔⵜⵉⵜⵉⵏ ⴳ ⵍⵓⵏⴹⵓⵏ.,للانت كيڭان ن تورتيتين ڭ لونضون.,llant kigan n turtitin g lunḍun.
How fast does he run?,ⵎⵏⵛⴽ ⴰ ⵙ ⴰⵔ ⵉⵜⵜⴰⵣⵣⴰⵍ?,Tachelhit,ⵎⵏⵛⴽ ⴰ ⵙ ⴰⵔ ⵉⵜⵜⴰⵣⵣⴰⵍ?,منشك ا س ار يتتاززال?,mnshk a s ar ittazzal?
You're the only one who can help me.,ⴽⵢⵢ ⴽⴰ ⴰⴷ ⵉⵥⴹⴰⵕⵏ ⴰⴷ ⵉⵢⵉ ⵢⴰⵡⵙ?,Tachelhit,ⴽⵢⵢ ⴽⴰ ⴰⴷ ⵉⵥⴹⴰⵕⵏ ⴰⴷ ⵉⵢⵉ ⵢⴰⵡⵙ?,كيي كا اد يزّضارّن اد ييي ياوس?,kyy ka ad iẓḍaṛn ad iyi yaws?
Where is the laundry?,ⵎⴰⵏⵣⴰ ⴰⵙⴰⵔⵉⴷ?,Tachelhit,ⵎⴰⵏⵣⴰ ⴰⵙⴰⵔⵉⴷ?,مانزا اساريد?,manza asarid?
Let's stop here for today.,ⴰⵊⵊⴰⵜ ⴰⵏⵖ ⴰⴷ ⵏⴱⴷⴷ ⵖⵉⴷ ⴰⵙⵙ ⴰ.,Tachelhit,ⴰⵊⵊⴰⵜ ⴰⵏⵖ ⴰⴷ ⵏⴱⴷⴷ ⵖⵉⴷ ⴰⵙⵙ ⴰ.,اججات انغ اد نبدد غيد اسس ا.,ajjat anɣ ad nbdd ɣid ass a.
I know what.,ⵙⵙⵏⵖ ⵎⵉⵜ.,Tachelhit,ⵙⵙⵏⵖ ⵎⵉⵜ.,سسنغ ميت.,ssnɣ mit.
Guts.,adan.,Tarifit,ⴰⴷⴰⵏ.,ادان.,adan.
Nights.,aḍan.,Other,ⴰⴹⴰⵏ.,اضان.,aḍan.
Mrs. Smith is our English teacher.,ⵎⴰⵙⵙ ⵙⵎⵉⵜ ⴰⴷ ⵉⴳⴰⵏ ⴰⵙⵍⵎⴰⴷ ⵏⵏⵖ ⵏ ⵜⵏⴳⵍⵉⵣⵜ.,Tachelhit,ⵎⴰⵙⵙ ⵙⵎⵉⵜ ⴰⴷ ⵉⴳⴰⵏ ⴰⵙⵍⵎⴰⴷ ⵏⵏⵖ ⵏ ⵜⵏⴳⵍⵉⵣⵜ.,ماسس سميت اد يڭان اسلماد ننغ ن تنڭليزت.,mass smit ad igan aslmad nnɣ n tnglizt.
Foot.,ḍar.,Tarifit,ⴹⴰⵔ.,ضار.,ḍar.
Leg.,ḍar.,Tarifit,ⴹⴰⵔ.,ضار.,ḍar.
Greyhound.,uẓkay.,Other,ⵓⵥⴽⴰⵢ.,وزّكاي.,uẓkay.
The economy of Japan has grown enormously.,ⵜⵎⵇⵇⵓⵔ ⴷ ⵜⴷⵎⵙⴰ ⵏ ⵢⴰⴱⴰⵏ ⵙ ⴳⵉⴳⴰⵏ.,Tachelhit,ⵜⵎⵇⵇⵓⵔ ⴷ ⵜⴷⵎⵙⴰ ⵏ ⵢⴰⴱⴰⵏ ⵙ ⴳⵉⴳⴰⵏ.,تمققور د تدمسا ن يابان س ڭيڭان.,tm99ur d tdmsa n yaban s gigan.
Fly.,izi.,Tarifit,ⵉⵣⵉ.,يزي.,izi.
Gallbladder.,iẓi.,Tarifit,ⵉⵥⵉ.,يزّي.,iẓi.
Breakfast!,fḍr!,Tarifit,ⴼⴹⵔ!,فضر!,fḍr!
