English_Sentence,Tamazight_Sentence,Dialect,Tamazight_Tifinagh,Tamazight_Arabic,Tamazight_Latin
It's time for bed.,ⵜⵉⵣⵉ ⵏ ⵓⴷⵔⴰⵔ.,Other,ⵜⵉⵣⵉ ⵏ ⵓⴷⵔⴰⵔ.,تيزي ن ودرار.,tizi n udrar.
That is an old castle.,ⴰⵢⴰ ⵉⴳⴰ ⵢⴰⵏ ⵜⵖⵔⵎⵜ ⵜⴰⵎⵇⵔⴰⵏⵜ.,Other,ⴰⵢⴰ ⵉⴳⴰ ⵢⴰⵏ ⵜⵖⵔⵎⵜ ⵜⴰⵎⵇⵔⴰⵏⵜ.,ايا يڭا يان تغرمت تامقرانت.,aya iga yan tɣrmt tam9rant.
They settled in Japan.,ⵖⴰⵎⴰⵏ ⵙⵓⵍ ⵖ ⵊⴰⵒⵓⵏ,Other,ⵖⴰⵎⴰⵏ ⵙⵓⵍ ⵖ ⵊⴰⵒⵓⵏ,غامان سول غ جابون,ɣaman sul ɣ japun
"When I got up this morning, it was raining.","ⵜⵇⵙⵍⵖ ⴰⵙⵙ ⴰⴷ, ⵜⵔⵥⵎ ⵍⴼⵓⴳⵍⴰ.",Other,"ⵜⵇⵙⵍⵖ ⴰⵙⵙ ⴰⴷ, ⵜⵔⵥⵎ ⵍⴼⵓⴳⵍⴰ.","تقسلغ اسس اد, ترزّم لفوڭلا.","t9slɣ ass ad, trẓm lfugla."
Colds are contagious.,ⵜⵉⴼⵉⵏⴰⵖ ⵏⴻⵖ ⵜⵜⴻⵙⵙⵏⴼⴰⵍⵏ.,Other,ⵜⵉⴼⵉⵏⴰⵖ ⵏⴻⵖ ⵜⵜⴻⵙⵙⵏⴼⴰⵍⵏ.,تيفيناغ ن ْغ تت ْسسنفالن.,tifinaɣ neɣ ttessnfaln.
This dictionary isn't any good.,ⴰⵖⵎⵉⵙ ⴰⴷ ⵓⵔ ⵢⴰⵃⵉ.,Central,ⴰⵖⵎⵉⵙ ⴰⴷ ⵓⵔ ⵢⴰⵃⵉ.,اغميس اد ور ياحي.,aɣmis ad ur yaḥi.
April showers bring May flowers.,ⴰⵔ ⵜⵜⵓⴼⴽⴰ ⵍⴱⴷⵓ ⵏ ⵢⵓⵏⵢⵓ ⴰⵔ ⵖⵓⵔⵙ ⵜⵉⴱⵓⵔⵣⵉⵏ ⵏ ⵎⴰⵢⵢⵓ.,Central,ⴰⵔ ⵜⵜⵓⴼⴽⴰ ⵍⴱⴷⵓ ⵏ ⵢⵓⵏⵢⵓ ⴰⵔ ⵖⵓⵔⵙ ⵜⵉⴱⵓⵔⵣⵉⵏ ⵏ ⵎⴰⵢⵢⵓ.,ار تتوفكا لبدو ن يونيو ار غورس تيبورزين ن ماييو.,ar ttufka lbdu n yunyu ar ɣurs tiburzin n mayyu.
Cathy has a temper.,ⴽⴰⵜⵉ ⵖⵓⵔⵙ ⵢⴰⵏ ⵓⴷⵔⴰⵔ.,Central,ⴽⴰⵜⵉ ⵖⵓⵔⵙ ⵢⴰⵏ ⵓⴷⵔⴰⵔ.,كاتي غورس يان ودرار.,kati ɣurs yan udrar.
I ate the cheese.,ⵔⵉⵖ ⵜⴰⵣⴰⵢⵔⵉⵜ.,Tarifit,ⵔⵉⵖ ⵜⴰⵣⴰⵢⵔⵉⵜ.,ريغ تازايريت.,riɣ tazayrit.
"Something else, sir?","ⵉⵙⴰⵔ ⴰⵔⴰ ⵢⴰⴹⵏ, ⵎⴰⵙⵙ?",Central,"ⵉⵙⴰⵔ ⴰⵔⴰ ⵢⴰⴹⵏ, ⵎⴰⵙⵙ?","يسار ارا ياضن, ماسس?","isar ara yaḍn, mass?"
I don't think Adam knows why Carmen went to the hospital.,ⵓⵔ ⵙⵙⵉⵏⵉⵖ ⵎⴰⵙⴷⴷⴷⴷ ⵉⵙⵙⵏ sⵎⴰⴷ ⵉⵅⵚⵚⴰ ⴽⴰⵔⵎⵏ ⴰⴷ ⵜⵔⵣⴼ ⵖ ⵓⵙⵉⴼ.,Central,ⵓⵔ ⵙⵙⵉⵏⵉⵖ ⵎⴰⵙⴷⴷⴷⴷ ⵉⵙⵙⵏ sⵎⴰⴷ ⵉⵅⵚⵚⴰ ⴽⴰⵔⵎⵏ ⴰⴷ ⵜⵔⵣⴼ ⵖ ⵓⵙⵉⴼ.,ور سسينيغ ماسدددد يسسن sماد يخصصا كارمن اد ترزف غ وسيف.,ur ssiniɣ masdddd issn smad i5ṣṣa karmn ad trzf ɣ usif.
Many wild animals died because there was no food.,ⵎⵏⵏⴰⵡ ⵏ ⵉⵎⵓⴷⴰⵔ ⵏ ⵓⴽⵔⴹⵉ ⵎⵎⵓⵜⵏ ⵙ ⵓⵙⴽⴽⵉⵔ ⵏ ⵓⵛⵉⴼ.a,Central,ⵎⵏⵏⴰⵡ ⵏ ⵉⵎⵓⴷⴰⵔ ⵏ ⵓⴽⵔⴹⵉ ⵎⵎⵓⵜⵏ ⵙ ⵓⵙⴽⴽⵉⵔ ⵏ ⵓⵛⵉⴼ.a,منناو ن يمودار ن وكرضي مموتن س وسككير ن وشيف.a,mnnaw n imudar n ukrḍi mmutn s uskkir n ushif.a
"Hey, keep your distance from the boss, today, he looks really upset about something.","ⴰⵀ, ⴰⵃⵟⵟⵓ ⴰⴱⵔⵉⴷ ⴰⴽⴷ ⵓⵏⴱⴱⴰⴹ, ⴰⵙⵙ ⴰⴷ, ⵉⵕⵥⵎ ⵉⵙ ⵉⵙⵙⵏ ⵓⵏⵏⴰⵍ ⵏ ⴽⵔⴰ ⵏ ⵜⵖⴰⵡⵙⴰ",Central,"ⴰⵀ, ⴰⵃⵟⵟⵓ ⴰⴱⵔⵉⴷ ⴰⴽⴷ ⵓⵏⴱⴱⴰⴹ, ⴰⵙⵙ ⴰⴷ, ⵉⵕⵥⵎ ⵉⵙ ⵉⵙⵙⵏ ⵓⵏⵏⴰⵍ ⵏ ⴽⵔⴰ ⵏ ⵜⵖⴰⵡⵙⴰ","اه, احططو ابريد اكد ونبباض, اسس اد, يرّزّم يس يسسن وننال ن كرا ن تغاوسا","ah, aḥṭṭu abrid akd unbbaḍ, ass ad, iṛẓm is issn unnal n kra n tɣawsa"
It's your specialty.,ⴰⵢⴰⴷ ⵉⴳⴰⵏ ⵜⴰⵥⵓⵕⵉ ⵏⵏⴽ.,Central,ⴰⵢⴰⴷ ⵉⴳⴰⵏ ⵜⴰⵥⵓⵕⵉ ⵏⵏⴽ.,اياد يڭان تازّورّي ننك.,ayad igan taẓuṛi nnk.
I can't put up with this noise.,ⵓⵔ ⵙⵎⵓⵔⵖ ⴰⴷ ⵙⵙⵉⵖ ⴰⵛⵏⵢⴰⵍ.,Other,ⵓⵔ ⵙⵎⵓⵔⵖ ⴰⴷ ⵙⵙⵉⵖ ⴰⵛⵏⵢⴰⵍ.,ور سمورغ اد سسيغ اشنيال.,ur smurɣ ad ssiɣ ashnyal.
Tom doesn't know anything about classical music.,ⵓⵔ ⵉⵙⵙⵏ ⵟⵓⵎ ⴽⵔⴰ ⵏⵜⵜⴰⵜ ⵅⴼ ⵓⵎⵓⵙⵙⵓ ⴰⵎⴰⵣⵉⵖAAA.,Other,ⵓⵔ ⵉⵙⵙⵏ ⵟⵓⵎ ⴽⵔⴰ ⵏⵜⵜⴰⵜ ⵅⴼ ⵓⵎⵓⵙⵙⵓ ⴰⵎⴰⵣⵉⵖAAA.,ور يسسن طوم كرا نتتات خف وموسسو امازيغAAA.,ur issn ṭum kra nttat 5f umussu amaziɣaaa.
"A true friend, who dares to tell us our faults, is the greatest gift of the gods.","ⴰⵎⴷⴷⴰⴽⵍ ⴰⵥⵓⵍⴰⵏ ⵏⵏⴰ ⵢⴰⴽⴽⴰ ⵡⴰⵔⵔⴰⵙ ⵏⵏⵖ, ⵉⴳⴰ ⵡⴰⵏⵉⵜⴰ ⴰⵅⴰⵜⴰⵔ ⵙⴳ ⵉⵎⴰⵍⵏ",Central,"ⴰⵎⴷⴷⴰⴽⵍ ⴰⵥⵓⵍⴰⵏ ⵏⵏⴰ ⵢⴰⴽⴽⴰ ⵡⴰⵔⵔⴰⵙ ⵏⵏⵖ, ⵉⴳⴰ ⵡⴰⵏⵉⵜⴰ ⴰⵅⴰⵜⴰⵔ ⵙⴳ ⵉⵎⴰⵍⵏ","امدداكل ازّولان ننا ياككا وارراس ننغ, يڭا وانيتا اخاتار سڭ يمالن","amddakl aẓulan nna yakka warras nnɣ, iga wanita a5atar sg imaln"
I'm a stranger here.,ⵓⵔ ⴳⵉⵖ ⵣ ⵖⵉⴷ,Tachelhit,ⵓⵔ ⴳⵉⵖ ⵣ ⵖⵉⴷ,ور ڭيغ ز غيد,ur giɣ z ɣid
"Before we say goodbye, there's something I'd like to ask you.","dat ad nsnal, iqqand ad nskr yat tɣtast ik",Central,"ⴷⴰⵜ ⴰⴷ ⵏⵙⵏⴰⵍ, ⵉⵇⵇⴰⵏⴷ ⴰⴷ ⵏⵙⴽⵔ ⵢⴰⵜ ⵜⵖⵜⴰⵙⵜ ⵉⴽ","دات اد نسنال, يققاند اد نسكر يات تغتاست يك","dat ad nsnal, i99and ad nskr yat tɣtast ik"
Our galaxy is called the Milky Way.,tẓallit nnɣ tssaɣn s tbridt n lalkṭaya,Tachelhit,ⵜⵥⴰⵍⵍⵉⵜ ⵏⵏⵖ ⵜⵙⵙⴰⵖⵏ ⵙ ⵜⴱⵔⵉⴷⵜ ⵏ ⵍⴰⵍⴽⵟⴰⵢⴰ,تزّالليت ننغ تسساغن س تبريدت ن لالكطايا,tẓallit nnɣ tssaɣn s tbridt n lalkṭaya
He knows modern English literature.,issn aẓṛig amaziɣ amaynu,Tachelhit,ⵉⵙⵙⵏ ⴰⵥⵕⵉⴳ ⴰⵎⴰⵣⵉⵖ ⴰⵎⴰⵢⵏⵓ,يسسن ازّرّيڭ امازيغ اماينو,issn aẓṛig amaziɣ amaynu
He sat down for a moment and stopped talking.,ⵙⴰⴷⵎⵔ ⵉ ⴽⵔⴰ ⵏ ⵢⴰⵏ ⵀⴰⵜ ⴰⵔ ⴰⴽ ⵢⴰⵇⵇⵔⴰ ⴳ ⵓⵙⴰⵡⴰⵍ.,Other,ⵙⴰⴷⵎⵔ ⵉ ⴽⵔⴰ ⵏ ⵢⴰⵏ ⵀⴰⵜ ⴰⵔ ⴰⴽ ⵢⴰⵇⵇⵔⴰ ⴳ ⵓⵙⴰⵡⴰⵍ.,سادمر ي كرا ن يان هات ار اك ياققرا ڭ وساوال.,sadmr i kra n yan hat ar ak ya99ra g usawal.
he city was full of hungry soldiers.,ⵜⵎⴷⵉⵏⵜ ⵙ ⵉⵡⴷⴰⵏ ⵏ ⵓⴳⵏⵙⵓ.,Other,ⵜⵎⴷⵉⵏⵜ ⵙ ⵉⵡⴷⴰⵏ ⵏ ⵓⴳⵏⵙⵓ.,تمدينت س يودان ن وڭنسو.,tmdint s iwdan n ugnsu.
Tom had no idea Mary was sick.,ⵜⵓⵎ ⵓⵔⵉⵙⵙⵏ ⵉⵙⵜⵎⵔⵉⴷ ⵎⴰⵔⵉ,Tachelhit,ⵜⵓⵎ ⵓⵔⵉⵙⵙⵏ ⵉⵙⵜⵎⵔⵉⴷ ⵎⴰⵔⵉ,توم وريسسن يستمريد ماري,tum urissn istmrid mari
Tom is a bad influence on you.,tum tga yat tusi ixatarn ikni.,Central,ⵜⵓⵎ ⵜⴳⴰ ⵢⴰⵜ ⵜⵓⵙⵉ ⵉⵅⴰⵜⴰⵔⵏ ⵉⴽⵏⵉ.,توم تڭا يات توسي يخاتارن يكني.,tum tga yat tusi i5atarn ikni.
Who loves war?,ⵎⴰⵏⵉ ⵉⵃⴱⴰⵙⵏ ⵉⵎⵏⵖⵉ?,Central,ⵎⴰⵏⵉ ⵉⵃⴱⴰⵙⵏ ⵉⵎⵏⵖⵉ?,ماني يحباسن يمنغي?,mani iḥbasn imnɣi?
My computer was down yesterday.,ⵉⵛⵛⴰ ⵓⴽⴰⴱⵓⵟⴰⵔ ⵉⵏⵓ ⵉⴹ ⵍⵍⵉ ⵏ ⴰⵙⵙ.,Central,ⵉⵛⵛⴰ ⵓⴽⴰⴱⵓⵟⴰⵔ ⵉⵏⵓ ⵉⴹ ⵍⵍⵉ ⵏ ⴰⵙⵙ.,يششا وكابوطار ينو يض للي ن اسس.,ishsha ukabuṭar inu iḍ lli n ass.
Hello!,ⴰⵣⵓⵍ!,Standard Moroccan Tamazight,ⴰⵣⵓⵍ!,ازول!,azul!
"From an airplane, the small hills look flat.","ⵙⴳ ⵜⴰⵏⵏⴰⵢⵜ ⵏ ⵓⵣⵡⴰⴳ, ⵜⵉⵔⴱⴰⵜⵉⵏ ⵜⵉⵥⵥⵉⴹⵕⴰⵏⵉⵏ ⵜⵕⵡⴰⵏ ⵙ ⵓⵙⵡⵉⵔ ⴰⵙaⵡⵓⴷⴷⵓ.",Central,"ⵙⴳ ⵜⴰⵏⵏⴰⵢⵜ ⵏ ⵓⵣⵡⴰⴳ, ⵜⵉⵔⴱⴰⵜⵉⵏ ⵜⵉⵥⵥⵉⴹⵕⴰⵏⵉⵏ ⵜⵕⵡⴰⵏ ⵙ ⵓⵙⵡⵉⵔ ⴰⵙaⵡⵓⴷⴷⵓ.","سڭ تاننايت ن وزواڭ, تيرباتين تيزّزّيضرّانين ترّوان س وسوير اسaووددو.","sg tannayt n uzwag, tirbatin tiẓẓiḍṛanin tṛwan s uswir asawuddu."
Tom praised Mary for always being on time.,ⵉⵙⵎⵖⵔ ⵎⴰⵔⵉ ⵎⴰⵔⵉ ⵎⴰⵙ ⵜⵍⵍⴰ ⴰⵀⴰ ⴳ ⵓⵣⵎⵣ.,Central,ⵉⵙⵎⵖⵔ ⵎⴰⵔⵉ ⵎⴰⵔⵉ ⵎⴰⵙ ⵜⵍⵍⴰ ⴰⵀⴰ ⴳ ⵓⵣⵎⵣ.,يسمغر ماري ماري ماس تللا اها ڭ وزمز.,ismɣr mari mari mas tlla aha g uzmz.
"Given that most Esperanto speakers have learned the language on their own, the Internet in general and websites such as www.lernu.net in particular have been a blessing for the language.","acku tugt n imsawaln n usbiranṭu ssn ssn ssnt tutlayt, llant tignit s umata d wasitn n usit amm www.lernu.net slawan akkw, gant tabrdadt i tutlayt.",Central,"ⴰⵛⴽⵓ ⵜⵓⴳⵜ ⵏ ⵉⵎⵙⴰⵡⴰⵍⵏ ⵏ ⵓⵙⴱⵉⵔⴰⵏⵟⵓ ⵙⵙⵏ ⵙⵙⵏ ⵙⵙⵏⵜ ⵜⵓⵜⵍⴰⵢⵜ, ⵍⵍⴰⵏⵜ ⵜⵉⴳⵏⵉⵜ ⵙ ⵓⵎⴰⵜⴰ ⴷ ⵡⴰⵙⵉⵜⵏ ⵏ ⵓⵙⵉⵜ ⴰⵎⵎ ⵡⵡⵡ.ⵍⴻⵔⵏⵓ.ⵏⴻⵜ ⵙⵍⴰⵡⴰⵏ ⴰⴽⴽⵡ, ⴳⴰⵏⵜ ⵜⴰⴱⵔⴷⴰⴷⵜ ⵉ ⵜⵓⵜⵍⴰⵢⵜ.","اشكو توڭت ن يمساوالن ن وسبيرانطو سسن سسن سسنت توتلايت, للانت تيڭنيت س وماتا د واسيتن ن وسيت امم ووو.ل ْرنو.ن ْت سلاوان اككو, ڭانت تابردادت ي توتلايت.","ashku tugt n imsawaln n usbiranṭu ssn ssn ssnt tutlayt, llant tignit s umata d wasitn n usit amm www.lernu.net slawan akkw, gant tabrdadt i tutlayt."
I'm sorry I kept you waiting so long.,ssfiɣ akkn aɣ irza akkn.,Central,ⵙⵙⴼⵉⵖ ⴰⴽⴽⵏ ⴰⵖ ⵉⵔⵣⴰ ⴰⴽⴽⵏ.,سسفيغ اككن اغ يرزا اككن.,ssfiɣ akkn aɣ irza akkn.
"It's been a year since the French and the Dutch said ""no!""",dar yan usggwas izrin iman n ifransisn d iman n dulandisn inna  uhuy !,Central,ⴷⴰⵔ ⵢⴰⵏ ⵓⵙⴳⴳⵡⴰⵙ ⵉⵣⵔⵉⵏ ⵉⵎⴰⵏ ⵏ ⵉⴼⵔⴰⵏⵙⵉⵙⵏ ⴷ ⵉⵎⴰⵏ ⵏ ⴷⵓⵍⴰⵏⴷⵉⵙⵏ ⵉⵏⵏⴰ ⵓⵀⵓⵢ !,دار يان وسڭڭواس يزرين يمان ن يفرانسيسن د يمان ن دولانديسن يننا وهوي !,dar yan usggwas izrin iman n ifransisn d iman n dulandisn inna uhuy !
Heart,Ur,Tarifit,ⵓⵔ,ور,ur
My,Inu,Tarifit,ⵉⵏⵓ,ينو,inu
I,Nech,Tarifit,ⵏⴻⵛⵀ,ن ْشه,neshh
Enough,Baraka,Tarifit,ⴱⴰⵔⴰⴽⴰ,باراكا,baraka
She,Natath,Tarifit,ⵏⴰⵜⴰⵜⵀ,ناتاته,natath
woman,Tamghath,Tarifit,ⵜⴰⵎⴳⵀⴰⵜⵀ,تامڭهاته,tamghath
I dream,nach tmnigh,Tarifit,ⵏⴰⵛⵀ ⵜⵎⵏⵉⴳⵀ,ناشه تمنيڭه,nashh tmnigh
"When you're reading an English book, it isn't a great idea to look up every word you don't know.","ⵍⵍⵉⵖ ⵜⵙⵙⵏⴷ ⴽⵔⴰ ⵏ ⵓⴷⵍⵉⵙ ⴰⵎⴰⵣⵉⵖ, ⵓⵔ ⵜⵍⵉ ⵢⴰⵜ ⵜⵡⵏⴳⵉⵎⵜ ⵉⵖⵓⴷⴰⵏ ⴰⴷ ⵜⵔⵣⴼ ⴽⵓⵍ ⵜⴳⵓⵔⵉ ⵓⵔ.",Other,"ⵍⵍⵉⵖ ⵜⵙⵙⵏⴷ ⴽⵔⴰ ⵏ ⵓⴷⵍⵉⵙ ⴰⵎⴰⵣⵉⵖ, ⵓⵔ ⵜⵍⵉ ⵢⴰⵜ ⵜⵡⵏⴳⵉⵎⵜ ⵉⵖⵓⴷⴰⵏ ⴰⴷ ⵜⵔⵣⴼ ⴽⵓⵍ ⵜⴳⵓⵔⵉ ⵓⵔ.","لليغ تسسند كرا ن ودليس امازيغ, ور تلي يات تونڭيمت يغودان اد ترزف كول تڭوري ور.","lliɣ tssnd kra n udlis amaziɣ, ur tli yat twngimt iɣudan ad trzf kul tguri ur."
Why don't we ask for his advice?,ⵎⴰⵏⵉ ⵓⵔ ⵏⵙⵓⵜⵔ ⴰⵙⴳⵎⴹ ⵏⵏⵙ?,Central,ⵎⴰⵏⵉ ⵓⵔ ⵏⵙⵓⵜⵔ ⴰⵙⴳⵎⴹ ⵏⵏⵙ?,ماني ور نسوتر اسڭمض ننس?,mani ur nsutr asgmḍ nns?
Man,argaz,Central,ⴰⵔⴳⴰⵣ,ارڭاز,argaz
no,uhu,Central,ⵓⵀⵓ,وهو,uhu
Thank you,tanmirt,Central,ⵜⴰⵏⵎⵉⵔⵜ,تانميرت,tanmirt
Hello,Azul,Central,ⴰⵣⵓⵍ,ازول,azul
now,dɣikk,Central,ⴷⵖⵉⴽⴽ,دغيكك,dɣikk
rain,anẓar,Central,ⴰⵏⵥⴰⵔ,انزّار,anẓar
Cold,asmmiḍ,Central,ⴰⵙⵎⵎⵉⴹ,اسمميض,asmmiḍ
It's cold,ismmiḍ lḥal,Central,ⵉⵙⵎⵎⵉⴹ ⵍⵃⴰⵍ,يسمميض لحال,ismmiḍ lḥal
It's very cold,iqrf lḥal,Central,ⵉⵇⵔⴼ ⵍⵃⴰⵍ,يقرف لحال,i9rf lḥal
It's hot,irɣa lḥal,Central,ⵉⵔⵖⴰ ⵍⵃⴰⵍ,يرغا لحال,irɣa lḥal
How old are you?,ⵎⵏⵏⴰⵡ ⵉⵙⴳⴳⵯⴰⵙⵏ ⴰⴷ ⴷⴰⵔⴽ ⵉⵍⵍⴰⵏ?,Tachelhit,ⵎⵏⵏⴰⵡ ⵉⵙⴳⴳⵯⴰⵙⵏ ⴰⴷ ⴷⴰⵔⴽ ⵉⵍⵍⴰⵏ?,منناو يسڭڭⵯاسن اد دارك يللان?,mnnaw isggⵯasn ad dark illan?
How old are you?,ⵎⵏⵏⴰⵡ ⵉⵙⴳⴳⵯⴰⵙⵏ ⴰⴷ ⴷⴰⵔⵎ ⵉⵍⵍⴰⵏ?,Tachelhit,ⵎⵏⵏⴰⵡ ⵉⵙⴳⴳⵯⴰⵙⵏ ⴰⴷ ⴷⴰⵔⵎ ⵉⵍⵍⴰⵏ?,منناو يسڭڭⵯاسن اد دارم يللان?,mnnaw isggⵯasn ad darm illan?
How are you?,ⵎⴰⵏⵣⴰⴽ ⵉⵏⵏ?,Tachelhit,ⵎⴰⵏⵣⴰⴽ ⵉⵏⵏ?,مانزاك ينن?,manzak inn?
How are you?,ⵎⵏⵎⴽ ⴰⴷ ⵏⵏ ⵜⴳⵉⵜ?,Tachelhit,ⵎⵏⵎⴽ ⴰⴷ ⵏⵏ ⵜⴳⵉⵜ?,منمك اد نن تڭيت?,mnmk ad nn tgit?
I do not know,ⵓⵔ ⵙⵙⵉⵏⵖ,Tachelhit,ⵓⵔ ⵙⵙⵉⵏⵖ,ور سسينغ,ur ssinɣ
"Outside of the Rif, there are many riffians in cities such as Tangier, Fez and Oujda.","Ɣer berra i Arrif, nettaf aṭṭas n Irifiyen di tneddam am Ṭanja, Tiṭṭawin, Fas niɣ Wejda. ",Other,"Ɣⴻⵔ ⴱⴻⵔⵔⴰ ⵉ ⴰⵔⵔⵉⴼ, ⵏⴻⵜⵜⴰⴼ ⴰⵟⵟⴰⵙ ⵏ ⵉⵔⵉⴼⵉⵢⴻⵏ ⴷⵉ ⵜⵏⴻⴷⴷⴰⵎ ⴰⵎ ⵟⴰⵏⵊⴰ, ⵜⵉⵟⵟⴰⵡⵉⵏ, ⴼⴰⵙ ⵏⵉⵖ ⵡⴻⵊⴷⴰ.","غ ْر ب ْررا ي ارريف, ن ْتتاف اططاس ن يريفيي ْن دي تن ْددام ام طانجا, تيططاوين, فاس نيغ و ْجدا.","gher berra i arrif, nettaf aṭṭas n irifiyen di tneddam am ṭanja, tiṭṭawin, fas niɣ wejda."
