English,Tamazight,Tamazight_Latin,Tamazight_Arabic
"If you're looking to speak more about the dataset, want to co-invest in planned platform expansions or look for collaboration opportunities, <emailFragment>drop us a line.</emailFragment>","ⵎⴽ ⵍⴰ ⵜⵙⵉⴳⴳⵉⵍⴷ ⴰⴷ ⵜⵙⵉⵡⵍⴷ ⵓⴳⴳⴰⵔ ⵅⴼ ⵜⴳⵔⵓⵎⵎⴰ ⵏ ⵉⵙⴼⴽⴰ, ⵜⵅⵙⴷ ⴰⴷ ⵜⴷⵔⵓⴷ ⴳ ⵓⵙⵙⴰⵔⵓ ⴰⵎⵛⵛⴰⵔ ⵏ ⵉⵏⵖⵍⴰⵏ ⵏ ⵜⵙⵉⵍⴰ ⵏⵏⴰ ⵉⵜⵜⵓⵙⵖⵉⵡⵙⵏ ⵏⵉⵖ ⵍⴰ ⵜⵙⵉⴳⴳⵉⵍⴷ ⵉⵣⵎⴰⵣ ⵏ ⵓⵎⵢⴰⵡⴰⵙ, <emailFragment>ⴰⵔⴰ ⴰⵏⵖ ⴷ.</emailFragment>","mk la tsiggild ad tsiwld uggar khf tgrumma n isfka, tkhsd ad tdrud g ussaru amshshar n inghlan n tsila nna ittusghiwsn nigh la tsiggild izmaz n umyawas, <emailFragment>ara angh d.</emailFragment>","مك لا تسيڭڭيلد اد تسيولد وڭڭار خف تڭرومما ن يسفكا, تخسد اد تدرود ڭ وسسارو امششار ن ينغلان ن تسيلا ننا يتتوسغيوسن نيغ لا تسيڭڭيلد يزماز ن ومياواس, <emailFragment>ارا انغ د.</emailFragment>"
Common Voice data plus all other voice datasets above.,ⵉⵙⴼⴽⴰ ⵏ ⴽⴰⵎⵏⴼⵓⵢⵙ ⵓⵍⴰ ⴰⴽⴽⵯ ⵜⵉⴳⵔⵓⵎⵎⴰⵡⵉⵏ ⵏ ⵉⵙⴼⴽⴰ ⵉⴳⵕⴹⴰⵏⵏ ⵢⴰⴹⵏⵉⵏ ⵏⵏⵉⴳ ⴷⴰ.,isfka n kamnfuys ula akkⵯ tigrummawin n isfka igṛḍann yaḍnin nnig da.,يسفكا ن كامنفويس ولا اككⵯ تيڭرومماوين ن يسفكا يڭرضانن ياضنين ننيڭ دا.
"We believe that large and publicly available voice datasets foster innovation and healthy commercial competition in machine-learning based speech technology. This is a global effort and we invite everyone to participate. Our aim is to help speech technology be more inclusive, reflecting the diversity of voices from around the world.","ⵏⴼⵍⵙ ⵎⴰⵙ ⴷ ⵜⵉⴳⵔⵓⵎⵎⴰ ⵏ ⵉⵙⴼⴽⴰ ⵉⴳⵕⴹⴰⵏⵏ ⵜⵉⵎⵇⵇⵔⴰⵏⵉⵏ, ⵙⴰⴳⴰⵏⵉⵏ ⵙ ⵓⴳⴷⵓⴷⴰⵏ, ⵍⴰ ⵙⵙⴱⵖⴰⵙⵏⵜ ⴰⵙⵏⴼⵍⵓⵍ ⴷ ⵜⵖⵏⵏⴰⵏⵜ ⵜⴰⵏⵙⴱⴰⴱⵜ ⵉⴷⵓⵙⵏ ⴳ ⵜⴻⵜⵉⴽⵏⵓⵍⵓⵊⵉⵜ ⵏ ⵓⵍⵎⵎⵓⴷ ⵏ ⵜⵎⴰⵛⵉⵏⵜ ⵉⵥⴽⴰⵏ ⵅⴼ ⵡⴰⵡⴰⵍ. ⵉⴳⴰ ⵓⵢⴰ ⵢⴰⵜ ⵜⵓⴳⴳⵣⵜ ⵜⴰⵎⴰⴹⵍⴰⵏⵜ ⴷ ⵍⴰ ⵏⵇⵇⴰⵔ ⵉ ⴽⵓⵢⴰⵏ ⴰⴷ ⵉⴷⵔⵓ. ⴰⵡⵜⵜⴰⵙ ⵏⵏⵖ ⴰⴷ ⵏⴰⵡⵙ ⵉ ⵜⴻⵜⵉⴽⵏⵓⵍⵓⵊⵉⵜ ⵏ ⵡⴰⵡⴰⵍ ⴰⴷ ⵜⴷⵍ ⵓⴳⴳⴰⵔ, ⵏⵙⵙⴰⴹⵓ ⴷ ⵜⴰⵎⴰⵏⴰⵡⵜ ⵏ ⵉⴳⵕⴹⴰⵏ ⵙⴳ ⵓⵎⴰⴹⴰⵍ.","nfls mas d tigrumma n isfka igṛḍann timqqranin, saganin s ugdudan, la ssbghasnt asnflul d tghnnant tansbabt idusn g tetiknulujit n ulmmud n tmashint iẓkan khf wawal. iga uya yat tuggzt tamaḍlant d la nqqar i kuyan ad idru. awttas nngh ad naws i tetiknulujit n wawal ad tdl uggar, nssaḍu d tamanawt n igṛḍan sg umaḍal.","نفلس ماس د تيڭرومما ن يسفكا يڭرضانن تيمققرانين, ساڭانين س وڭدودان, لا سسبغاسنت اسنفلول د تغننانت تانسبابت يدوسن ڭ ت°تيكنولوجيت ن ولممود ن تماشينت يزّكان خف واوال. يڭا ويا يات توڭڭزت تاماضلانت د لا نققار ي كويان اد يدرو. اوتتاس ننغ اد ناوس ي ت°تيكنولوجيت ن واوال اد تدل وڭڭار, نسساضو د تاماناوت ن يڭرضان سڭ وماضال."
Firefox Account,ⴰⵎⵉⴹⴰⵏ ⵏ ⴼⴰⵢⵔⴼⵓⴽⵙ,amiḍan n fayrfuks,اميضان ن فايرفوكس
Help us by reviewing sentences for correctness according to the guidelines.,ⴰⵡⵙ ⴰⵏⵖ ⵙ ⵓⵙⵙⵉⵔⵎ ⵏ ⵜⵓⵖⴷⴰ ⵏ ⵜⵡⵉⵏⴰⵙ ⵙ ⵎⴽⴷⴰ ⵉⵍⵍⴰⵏ ⴳ ⵜⴰⵔⴰⵜⵉⵏ.,aws angh s ussirm n tughda n twinas s mkda illan g taratin.,اوس انغ س وسسيرم ن توغدا ن تويناس س مكدا يللان ڭ تاراتين.
Add a language you want to contribute to,ⵔⵏⵓ ⵜⵓⵜⵍⴰⵢⵜ ⵏⵏⴰ ⵙ ⵜⵅⵙⴷ ⴰⴷ ⵜⴰⵔⴳⴷ,rnu tutlayt nna s tkhsd ad targd,رنو توتلايت ننا س تخسد اد تارڭد
Your file is encrypted and ready to send,"ⵉⵏⵜⵍ ⵓⴼⴰⵢⵍⵓ ⵏⵏⵓⵏ, ⵉⵃⵢⵢⵍ ⵉ ⵡⴰⵣⴰⵏ","intl ufaylu nnun, iḥyyl i wazan","ينتل وفايلو ننون, يحييل ي وازان"
"We are excited to support public sector engagement in technology, innovation and language rights. If you're planning to run a major project or campaign, please do <emailFragment>get in touch.</emailFragment>","ⵏⴱⵓⵔⵣ ⴰⴷ ⵏⴻⵏⵏⴰⵍ ⴰⵙⵓⵖⵏ ⵏ ⵢⵉⴳⵔ ⴰⴳⴷⵓⴷⴰⵏ ⴳ ⵜⴻⵜⵉⴽⵏⵓⵍⵓⵊⵉⵜ, ⴰⵙⵏⴼⵍⵓⵍ ⴷ ⵉⵣⵔⴼⴰⵏ ⵏ ⵜⵓⵜⵍⴰⵢⵜ. ⵎⴽ ⵍⴰ ⵜⵙⵖⵉⵡⵉⵙⴷ ⴰⴷ ⵜⵕⵥⵎⴷ ⵉ ⴽⵔⴰ ⵏ ⵓⵙⵏⴼⴰⵔ ⵏⵉⵖ ⴰⵎⵣⵉⵣⵣⵍ ⵉⵎⵇⵇⵔⴰⵏⵏ, ⵎⴽ ⵜⵓⴼⵉⴷ, <emailFragment>ⵏⵢⴰⵍⴽⴰⵎ ⴷⵉⴷⵏⵖ.</emailFragment>","nburz ad nennal asughn n yigr agdudan g tetiknulujit, asnflul d izrfan n tutlayt. mk la tsghiwisd ad tṛẓmd i kra n usnfar nigh amzizzl imqqrann, mk tufid, <emailFragment>nyalkam didngh.</emailFragment>","نبورز اد ن°ننال اسوغن ن ييڭر اڭدودان ڭ ت°تيكنولوجيت, اسنفلول د يزرفان ن توتلايت. مك لا تسغيويسد اد ترزّمد ي كرا ن وسنفار نيغ امزيززل يمققرانن, مك توفيد, <emailFragment>نيالكام ديدنغ.</emailFragment>"
Learn about other { -mozilla } services,ⵍⵎⴷ ⵖⴼ ⵜⵏⵓⴼⴰ ⵢⴰⴹⵏⵉⵏ ⵏ { -mozilla },lmd ghf tnufa yaḍnin n { -mozilla },لمد غف تنوفا ياضنين ن { -mozilla }
Afaan Oromo,ⵜⵓⵕⵓⵎⵓⵜ,tuṛumut,توروموت
I confirm that this sentence is <wikipediaLink>public domain</wikipediaLink> and I have permission to upload it.,"ⵍⴰ ⵙⵙⴷⵉⴷⵖ ⵎⴰⵙ ⴷ ⵜⴰⵡⵉⵏⵙⵜ ⴰⴷ ⵜⴳⴰ <wikipediaLink>ⴰⴳⵍⴰ ⴰⴳⴷⵓⴷⴰⵏ</wikipediaLink>, ⵜⵉⵍⵉ ⴷⴰⵔⵉ ⵜⵓⵔⴰⴳⵜ ⴰⴷ ⵜⵜ ⵙⴽⵜⵔⵖ.","la ssdidgh mas d tawinst ad tga <wikipediaLink>agla agdudan</wikipediaLink>, tili dari turagt ad tt sktrgh.","لا سسديدغ ماس د تاوينست اد تڭا <wikipediaLink>اڭلا اڭدودان</wikipediaLink>, تيلي داري توراڭت اد تت سكترغ."
Erzya,ⵜⴰⵢⵔⵣⵢⵉⵜ,tayrzyit,تايرزييت
Partner,ⴰⵎⵛⵛⵔⴽ,amshshrk,امششرك
Ossetian,ⵜⴰⵡⵙⵉⵜⵉⵜ,tawsitit,تاوسيتيت
Background Noise,ⴰⴷⵉⴷⴰ ⵏ ⵜⵖⵔⴷⵉⵏ,adida n tghrdin,اديدا ن تغردين
Add <icon></icon> a public domain sentence,ⵔⵏⵓ <icon></icon> ⴽⵔⴰ ⵏ ⵜⵡⵉⵏⵙⵜ ⵏ ⵡⴰⴳⵍⴰ ⴰⴳⴷⵓⴷⵏ,rnu <icon></icon> kra n twinst n wagla agdudn,رنو <icon></icon> كرا ن توينست ن واڭلا اڭدودن
Encrypting…,ⴰⵙⵙⵏⵜⵍ...,assntl...,اسسنتل...
import,ⵙⴽⵛⵎ,skshm,سكشم
Avoid too much background noise - it should be easy to hear you.,ⴰⵏⴼⴰⵜ ⵉ ⴽⵉⴳⴰⵏ ⵏ ⵓⴷⵉⴷⴰ ⵏ ⵜⵖⵔⴷⵉⵏ - ⵉⵅⵚⵚⴰ ⴰⴷ ⵜⴻⵜⵜⵓⵙⵍⵍⵎ ⵙ ⵓⵍⵎⴰⴹ.,anfat i kigan n udida n tghrdin - ikhṣṣa ad tettusllm s ulmaḍ.,انفات ي كيڭان ن وديدا ن تغردين - يخصصا اد ت°تتوسللم س ولماض.
There are currently no sentences to review in this language.,ⵓⵔ ⵜⵍⵍⵉ ⵙ ⵓⵎⵉⵔⴰⵏ ⵓⵍⴰ ⴽⵔⴰ ⵏ ⵜⵡⵉⵏⵙⵜ ⵉ ⵓⵙⵙⵉⵔⵎ ⵙ ⵜⵓⵜⵍⴰⵢⵜ ⴰ.,ur tlli s umiran ula kra n twinst i ussirm s tutlayt a.,ور تللي س وميران ولا كرا ن توينست ي وسسيرم س توتلايت ا.
"Most recordings are of people talking in their natural voice. You can accept the occasional non-standard recording that is shouted, whispered, or obviously delivered in a ‘dramatic’ voice. Please reject sung recordings and those using a computer-synthesized voice.","ⴰⵎⴰⵜⴰ ⵏ ⵉⵙⵓⵙⴰⵔ ⴳⴰⵏ ⵡⵉⵏ ⵎⴷⴷⵏ ⵙⴰⵡⴰⵍⵏⵉⵏ ⵙ ⵓⴳⵕⴹ ⴰⴳⴰⵎⴰⵏ ⵏⵏⵙⵏ. ⵜⵣⵎⵔⴷ ⴰⴷ ⵜⴷⴳⴳⴰⴷ ⴰⵙⵓⵙⵔ ⴰⵔⴰⵏⴰⵡⴰⵢ ⴰⵎⵍⴷⴰⵏ ⵏⵏⴰ ⵉⵜⵜⵓⵏⵏⴰⵏ ⵙ ⵓⵙⵖⵓⵢ, ⵙ ⵓⵡⵛⵡⵛ, ⵏⵉⵖ ⵙ ⴽⵔⴰ ⵏ ⵓⴳⵕⴹ ‘ⴰⴹⵕⴰⵎⵉ’. ⵎⴽ ⵜⵓⴼⵉⴷ, ⴰⴳⵢ ⵉⵙⵓⵙⴰⵔ ⵏ ⵡⵓⵔⴰⵔ ⴷ ⵡⵉⵏⵏⴰ ⵙⵙⵎⵔⴰⵙⵏⵉⵏ ⴽⵔⴰ ⵏ ⵓⴳⵕⴹ ⵉⵜⵜⵓⵖⵔⴼⵏ ⵙ ⵓⵎⵙⵙⵓⴷⵙ.","amata n isusar gan win mddn sawalnin s ugṛḍ agaman nnsn. tzmrd ad tdggad asusr aranaway amldan nna ittunnan s usghuy, s uwshwsh, nigh s kra n ugṛḍ ‘aḍṛami’. mk tufid, agy isusar n wurar d winna ssmrasnin kra n ugṛḍ ittughrfn s umssuds.","اماتا ن يسوسار ڭان وين مددن ساوالنين س وڭرض اڭامان ننسن. تزمرد اد تدڭڭاد اسوسر اراناواي املدان ننا يتتوننان س وسغوي, س ووشوش, نيغ س كرا ن وڭرض ‘اضرامي’. مك توفيد, اڭي يسوسار ن وورار د ويننا سسمراسنين كرا ن وڭرض يتتوغرفن س ومسسودس."
Understand context,ⵔⵎⵙⴰⵜ ⴰⵎⵏⴰⴹ,rmsat amnaḍ,رمسات امناض
Arabic,ⵜⴰⵄⵕⴰⴱⵜ,ta3ṛabt,تاعرابت
Tell us what you'd like to download:,ⵉⵏⵉ ⴰⵏⵖ ⵎⴰ ⵔⴰⴷ ⵜⴰⴳⵎⴷ:,ini angh ma rad tagmd:,يني انغ ما راد تاڭمد:
VoxForge was set up to collect transcribed speech for use with Free and Open Source Speech Recognition Engines.,ⵉⵜⵜⵡⴰⴳⴳ VoxForge ⵉ ⵓⴳⴳⵔⵓ ⵏ ⵡⴰⵡⴰⵍ ⵉⵜⵜⵢⴰⵔⴰⵏ ⵃⵎⴰ ⴰⴷ ⵉⵜⵜⵓⵙⵎⵔⵙ ⴰⴽⴷ ⵉⵏⵙⵎⵓⵙⵙⴰ ⵏ ⵜⵓⴽⵣⴰ ⵏ ⵡⴰⵡⴰⵍ ⵉⵍⴻⵍⵍⴰⵏ ⴷ ⵡⵉⵏ ⵓⵙⴰⴳⵎ ⵓⵕⵥⵉⵎ.,ittwagg VoxForge i uggru n wawal ittyaran ḥma ad ittusmrs akd insmussa n tukza n wawal ilellan d win usagm uṛẓim.,يتتواڭڭ VoxForge ي وڭڭرو ن واوال يتتياران حما اد يتتوسمرس اكد ينسموسسا ن توكزا ن واوال يل°للان د وين وساڭم ورزّيم.
Leaving now means you’ll lose your changes,ⵎⴽ ⵜⴼⴼⵖⵎ ⴷⵖⵉ ⵔⴰⴷ ⵜⵊⵊⵍⵓⵎ ⵉⵙⵏⴼⴰⵍ ⵏⵏⵓⵏ,mk tffghm dghi rad tjjlum isnfal nnun,مك تففغم دغي راد تججلوم يسنفال ننون
Tigre,ⵜⴰⵜⵉⴳⵔⵉⵜ,tatigrit,تاتيڭريت
Statistics,ⵉⵙⵏⵎⴽⵜⴰⵜⵏ,isnmktatn,يسنمكتاتن
Community announcement!,ⵜⵓⵙⵎⵉⵔⵜ ⵏ ⵜⴳⵔⴰⵡⵜ!,tusmirt n tgrawt!,توسميرت ن تڭراوت!
Kabyle,ⵜⴰⵇⴱⴰⵢⵍⵉⵜ,taqbaylit,تاقبايليت
Why is my language not included yet?,ⵎⴰⵅⴼ ⵜⴰ ⵓⵔ ⵜⴰⵎⵓ ⵜⵓⵜⵍⴰⵢⵜ ⵉⵏⵓ?,makhf ta ur tamu tutlayt inu?,ماخف تا ور تامو توتلايت ينو?
Log in or sign up to get started,ⴽⵛⵎ ⵏⵉⵖ ⵜⵣⵎⵎⴻⵎⴷ ⵃⵎⴰ ⴰⴷ ⵜⵙⵙⵏⵜⵉⴷ,kshm nigh tzmmemd ḥma ad tssntid,كشم نيغ تزمم°مد حما اد تسسنتيد
Recorded Hours,ⵜⵉⵙⵔⴰⴳⵉⵏ ⵜⵜⵓⵙⵓⵙⵔⵏⵉⵏ,tisragin ttususrnin,تيسراڭين تتوسوسرنين
The Common Voice Dataset contains hundreds of thousands of voice samples that help developers build voice recognition tools.,ⵜⵓⵎⴰ ⵜⴳⵔⵓⵎⵎⴰ ⵏ ⵉⵙⴼⴽⴰ ⵏ ⴽⴰⵎⵏⴼⵓⵢⵙ ⵜⵉⵎⴰⴹ ⵏ ⵉⴼⴹⵏ ⵏ ⵜⵓⵙⵙⵉⴼⵉⵏ ⵜⵉⴳⵕⴹⴰⵏⵉⵏ ⵏⵏⴰ ⵉⵜⵜⴰⵡⵙⵏ ⵉ ⵉⵎⵙⵖⵉⵡⵙⵏ ⴳ ⵓⵥⴽⴽⵓ ⵏ ⵉⵎⴰⵙⵙⵏ ⵏ ⵜⵓⴽⵣⴰ ⵜⴰⴳⵕⴹⴰⵏⵜ.,tuma tgrumma n isfka n kamnfuys timaḍ n ifḍn n tussifin tigṛḍanin nna ittawsn i imsghiwsn g uẓkku n imassn n tukza tagṛḍant.,توما تڭرومما ن يسفكا ن كامنفويس تيماض ن يفضن ن توسسيفين تيڭرضانين ننا يتتاوسن ي يمسغيوسن ڭ وزّككو ن يماسسن ن توكزا تاڭرضانت.
<governanceLink>Read more about how we're governed</governanceLink>,<governanceLink>ⵖⵔⴰⵜ ⵓⴳⴳⴰⵔ ⵅⴼ ⵎⴰⵏⵎⴽ ⵏⵜⵜⵓⵏⴱⴹ</governanceLink>,<governanceLink>ghrat uggar khf manmk nttunbḍ</governanceLink>,<governanceLink>غرات وڭڭار خف مانمك نتتونبض</governanceLink>
Remove,ⵙⵉⵜⵜⵢ,sitty,سيتتي
Check <icon></icon> is this a linguistically correct sentence?,ⵛⴰⴱⴱⴰ <icon></icon> ⵉⵙ ⵜⵓⵖⴷ ⵜⵡⵉⵏⵙⵜ ⴰ ⵙ ⵓⵎⵙⵏⵉⵍⵙ?,shabba <icon></icon> is tughd twinst a s umsnils?,شاببا <icon></icon> يس توغد توينست ا س ومسنيلس?
You've successfully signed up for contributing to { $language }. Thank you.,ⵜⵣⵎⵎⴻⵎⴷ ⵙ ⵓⵎⵓⵔⵙ ⵃⵎⴰ ⴰⴷ ⵜⴰⵔⴳⴷ ⴳ { $language }. ⵜⴰⵏⵎⵎⵉⵔⵜ.,tzmmemd s umurs ḥma ad targd g { $language }. tanmmirt.,تزمم°مد س ومورس حما اد تارڭد ڭ { $language }. تانمميرت.
Misreadings,ⵉⵣⴳⴰⵍⵏ ⵏ ⵜⵖⵔⵉ,izgaln n tghri,يزڭالن ن تغري
Frisian,ⵜⴰⴼⵔⵉⵣⵉⵜ,tafrizit,تافريزيت
Set my visibility,ⵙⵔⵙ ⵜⵓⵎⴰⵏⵜ ⵉⵏⵓ,srs tumant inu,سرس تومانت ينو
account recovery key,ⵜⴰⵙⴰⵔⵓⵜ ⵏ ⵓⵙⵙⴰⴹⵓ ⵏ ⵓⵎⵉⴹⴰⵏ,tasarut n ussaḍu n umiḍan,تاساروت ن وسساضو ن وميضان
Acehnese,ⵜⴰⵜⵛⵉⵀⵉⵜ,tatshihit,تاتشيهيت
"If you come across something that these guidelines don’t cover, please vote according to your best judgement. If you really can’t decide, use the skip button and go on to the next recording.","ⵎⴽ ⵜⵎⵍⴰⵍⴰⵎ ⴷ ⴽⵔⴰ ⵏ ⵜⵖⴰⵡⵙⴰ ⵏⵏⴰ ⵓⵔ ⴷⵉⵍⵏⵜ ⵜⴰⵔⴰⵜⵉⵏ ⴰⴷ, ⵙⵙⵜⵢⴰⵜ ⵙ ⵎⴽⴷⴰ ⵉⵍⵍⴰⵏ ⴳ ⵢⵉⴱⴹⵉ ⴰⵎⵓⴼⴰⵢ ⵏⵏⵓⵏ. ⵎⴽ ⵓⵔ ⵜⵣⵎⵉⵔⵎ ⴰⴷ ⵜⵖⵜⵙⵎ, ⵙⵙⵎⵔⵙⴰⵜ ⴰⴱⵔⴰ ⵙⵙⵉⵏⴼ, ⵜⴷⴷⵓⵎ ⵖⵔ ⵓⵙⵓⵙⵔ ⵓⴹⴼⵉⵕ.","mk tmlalam d kra n tghawsa nna ur dilnt taratin ad, sstyat s mkda illan g yibḍi amufay nnun. mk ur tzmirm ad tghtsm, ssmrsat abra ssinf, tddum ghr ususr uḍfiṛ.","مك تملالام د كرا ن تغاوسا ننا ور ديلنت تاراتين اد, سستيات س مكدا يللان ڭ ييبضي اموفاي ننون. مك ور تزميرم اد تغتسم, سسمرسات ابرا سسينف, تددوم غر وسوسر وضفير."
Updating…,ⴰⵙⴷⵖⵉ…,asdghi…,اسدغي…
Languages,ⵜⵓⵜⵍⴰⵢⵉⵏ,tutlayin,توتلايين
Just Unsure?,ⵖⴰⵙ ⵓⵔ ⵜⵃⵇⵇⴰⴷ?,ghas ur tḥqqad?,غاس ور تحققاد?
Add Sentences,ⵔⵏⵓ ⵜⵉⵡⵉⵏⴰⵙ,rnu tiwinas,رنو تيويناس
<speechBlogLink>Get Started with Speech Recognition</speechBlogLink>,<speechBlogLink>ⵙⵙⵏⵜⵉ ⵙ ⵜⵓⴽⵣⴰ ⵏ ⵡⴰⵡⴰⵍ</speechBlogLink>,<speechBlogLink>ssnti s tukza n wawal</speechBlogLink>,<speechBlogLink>سسنتي س توكزا ن واوال</speechBlogLink>
About,ⵅⴼ,khf,خف
Udmurt,ⵜⴰⵡⴷⵎⵓⵔⵜⵉⵜ,tawdmurtit,تاودمورتيت
